Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	36.86827191702432	39.0	38.0	40.0	33.0	40.0	ct2
2	36.784609067022046	40.0	38.0	40.0	31.0	40.0	ct2
3	36.72968024171637	40.0	38.0	40.0	31.0	40.0	ct2
4	36.72528806215806	39.0	38.0	40.0	31.0	40.0	ct2
5	36.730511647688054	40.0	38.0	40.0	31.0	40.0	ct2
6	36.576982453935884	39.0	38.0	40.0	31.0	40.0	ct2
7	36.795981583111754	40.0	38.0	40.0	31.0	40.0	ct2
8	36.71991994338284	40.0	38.0	40.0	31.0	40.0	ct2
9	36.72619739828077	40.0	38.0	40.0	31.0	40.0	ct2
10	36.70666184989867	40.0	38.0	40.0	31.0	40.0	ct2
11	36.97777797579151	40.0	38.0	40.0	33.0	40.0	ct2
12	36.87122374803551	40.0	38.0	40.0	32.0	40.0	ct2
13	36.89691049238867	40.0	38.0	40.0	33.0	40.0	ct2
14	36.83584104303164	40.0	38.0	40.0	32.0	40.0	ct2
15	36.77723651226932	39.0	38.0	40.0	32.0	40.0	ct2
16	36.772816543664895	39.0	38.0	40.0	32.0	40.0	ct2
17	36.67473480339401	39.0	38.0	40.0	31.0	40.0	ct2
18	36.68531786962326	39.0	38.0	40.0	32.0	40.0	ct2
19	36.564592912809594	39.0	38.0	40.0	31.0	40.0	ct2
20	36.49676225670406	39.0	38.0	40.0	31.0	40.0	ct2
21	36.12638022372693	39.0	37.0	40.0	30.0	40.0	ct2
22	36.499448974588155	39.0	38.0	40.0	31.0	40.0	ct2
23	35.886150033182396	39.0	36.0	40.0	29.0	40.0	ct2
24	35.72200368485169	39.0	36.0	40.0	29.0	40.0	ct2
25	35.96219512195122	39.0	37.0	40.0	30.0	40.0	ct2
26	35.722922568245785	39.0	36.0	40.0	30.0	40.0	ct2
27	36.2920384327872	39.0	37.0	40.0	31.0	40.0	ct2
28	36.00914452751119	39.0	36.0	40.0	30.0	40.0	ct2
