Base	N-Count	sample
1	1.0775353653368502	ct2
2	0.11151865022561987	ct2
3	0.01777592785963632	ct2
4	0.0022805141094350756	ct2
5	0.0	ct2
6	0.0	ct2
7	0.0	ct2
8	0.0	ct2
9	1.5102742446589905E-5	ct2
10	0.0	ct2
11	0.0	ct2
12	0.0	ct2
13	3.9267130361133755E-4	ct2
14	0.004304281597278123	ct2
15	0.028423361284482203	ct2
16	0.0023862333065612054	ct2
17	0.0	ct2
18	0.0	ct2
19	0.0	ct2
20	0.0	ct2
21	0.0	ct2
22	1.6054850709383578E-4	ct2
23	0.003323779314348644	ct2
24	0.021142591679023815	ct2
25	0.0030152774055213077	ct2
26	0.0	ct2
27	0.0	ct2
28	0.0	ct2
