Tile	Base	Mean	sample
1	1	-0.8316107442940819	cc3
1	2	-0.8506327892259833	cc3
1	3	-0.9399982565662128	cc3
1	4	-0.8605671853175494	cc3
1	5	-0.8541873323183964	cc3
1	6	-0.882576076612466	cc3
1	7	-0.9137072312785008	cc3
1	8	-0.8904971860351267	cc3
1	9	-0.8777603306132207	cc3
1	10	-0.9535853242940959	cc3
1	11	-0.7230294255825669	cc3
1	12	-0.8496165686214567	cc3
1	13	-0.764203186250576	cc3
1	14	-0.8173027893110003	cc3
1	15	-0.8448897032655864	cc3
1	16	-0.8342740534878956	cc3
1	17	-0.8358928394642717	cc3
1	18	-0.8557757527477108	cc3
1	19	-0.7966692323525564	cc3
1	20	-0.8230038341143668	cc3
1	21	-0.823424273796455	cc3
1	22	-0.7581920866451455	cc3
1	23	-0.7112251825537115	cc3
1	24	-0.2955331272472108	cc3
1	25	-0.5877965738598903	cc3
1	26	0.4040561751511049	cc3
1	27	-0.2159694358804174	cc3
1	28	0.6104111079655112	cc3
2	1	-0.8525723386250093	cc3
2	2	-1.0235572993222135	cc3
2	3	-0.9681626054789305	cc3
2	4	-0.9826468408687177	cc3
2	5	-0.9535549980670055	cc3
2	6	-1.0183157227707085	cc3
2	7	-0.9616239078643929	cc3
2	8	-0.9439385624029413	cc3
2	9	-1.009239254899498	cc3
2	10	-0.9617661256159877	cc3
2	11	-0.8281352100353274	cc3
2	12	-0.8233447657799644	cc3
2	13	-0.8689950512214111	cc3
2	14	-0.8745115211668022	cc3
2	15	-0.9094537635362343	cc3
2	16	-0.9072575342070337	cc3
2	17	-0.9292642077341355	cc3
2	18	-0.9594962130375464	cc3
2	19	-0.9006344702827676	cc3
2	20	-1.0036417532676438	cc3
2	21	-0.9040371351546597	cc3
2	22	-0.8740065367778129	cc3
2	23	-1.0022810517717033	cc3
2	24	-1.0739408896975249	cc3
2	25	0.001105766737360625	cc3
2	26	-0.3935186397917221	cc3
2	27	-0.8651732362283369	cc3
2	28	-0.2727197962180199	cc3
3	1	-0.682436650032237	cc3
3	2	-0.7956273118288522	cc3
3	3	-0.7874346246829518	cc3
3	4	-0.7817478036674856	cc3
3	5	-0.774060597963306	cc3
3	6	-0.8009347037814578	cc3
3	7	-0.7630363485111431	cc3
3	8	-0.7639301336540072	cc3
3	9	-0.8249039157317313	cc3
3	10	-0.767132382142826	cc3
3	11	-0.6864345294217813	cc3
3	12	-0.7073370199956841	cc3
3	13	-0.7246151696553653	cc3
3	14	-0.6986568841529177	cc3
3	15	-0.7563175195723844	cc3
3	16	-0.7432672947194376	cc3
3	17	-0.8133008863526854	cc3
3	18	-0.767688637516919	cc3
3	19	-0.7322766027299323	cc3
3	20	-0.8061895350385413	cc3
3	21	-0.7634930229758012	cc3
3	22	-0.6765704500425613	cc3
3	23	-0.6745886505844183	cc3
3	24	-0.9228660873069359	cc3
3	25	-0.27106172094736536	cc3
3	26	-0.10939490168025401	cc3
3	27	-0.3721860931326617	cc3
3	28	1.170575943130352	cc3
4	1	-0.617106906698595	cc3
4	2	-0.7066354633441208	cc3
4	3	-0.6593301795866182	cc3
4	4	-0.661560083302831	cc3
4	5	-0.660525230899303	cc3
4	6	-0.797982063689318	cc3
4	7	-0.6971475090867258	cc3
4	8	-0.6950631687907105	cc3
4	9	-0.801179317256981	cc3
4	10	-0.7298412648344978	cc3
4	11	-0.6280367100275726	cc3
4	12	-0.6717943601460732	cc3
4	13	-0.6910357852403664	cc3
4	14	-0.7229068241900549	cc3
4	15	-0.7134426260550413	cc3
4	16	-0.6845389339929753	cc3
4	17	-0.740117047171367	cc3
4	18	-0.7151682634930552	cc3
4	19	-0.7386731138240066	cc3
4	20	-0.6818837451795048	cc3
4	21	-0.6480654209495569	cc3
4	22	-0.4829029147055408	cc3
4	23	-0.40570689512514946	cc3
4	24	0.27781672768509225	cc3
4	25	0.1535161135921541	cc3
4	26	0.47361752748602015	cc3
4	27	-0.2711735761909466	cc3
4	28	-1.0427357451813393	cc3
5	1	-1.0189007689111165	cc3
5	2	-1.095035598691254	cc3
5	3	-0.7951746124103494	cc3
5	4	-1.0014300680250159	cc3
5	5	-0.9529083658260404	cc3
5	6	-0.7751242909699698	cc3
5	7	-0.7642058621581782	cc3
5	8	-0.9187627596732284	cc3
5	9	-0.7940838462592126	cc3
5	10	-0.7999141677229318	cc3
5	11	-0.6934006605233378	cc3
5	12	-0.6488930097508003	cc3
5	13	-0.6718872417600963	cc3
5	14	-0.7031481932468253	cc3
5	15	-0.6541795501888714	cc3
5	16	-0.6624886299745967	cc3
5	17	-0.7207813760238935	cc3
5	18	-0.6023330458198544	cc3
5	19	-0.6408060346550926	cc3
5	20	-0.7169749197196111	cc3
5	21	-0.5614235173747488	cc3
5	22	-0.5830238420785463	cc3
5	23	-0.9823005012655557	cc3
5	24	-1.0300106242525118	cc3
5	25	-1.3674204758764716	cc3
