id	ann	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pt1	pt2	pt3	pt4	pt5	pt6	pt7	cc1	cc2	cc3	cc4	cc5	cc6	cc7	ct1	ct2	ct3	ct4	ct5	ct6	ct7
C:221	789	370	426	361	413	194	339	151	164	432	441	137	310	455	805	217	485	204	194	97	156	77	215	357	105	181	154
C:240	0	74	0	86	31	41	18	57	43	0	11	51	11	0	0	72	13	91	40	74	57	25	41	61	38	40	41
C:241	119	162	148	219	314	97	169	60	139	125	51	54	139	166	53	105	77	138	128	14	99	0	14	52	90	123	51
C:250	290	238	279	210	261	124	166	72	328	387	268	59	178	310	143	77	210	121	91	73	145	68	132	47	36	73	108
C:252	1081	296	413	454	436	248	403	199	220	789	577	101	422	708	1092	327	753	394	249	261	345	141	347	596	355	279	428
C:253	450	847	268	787	534	689	671	226	715	427	404	537	713	419	1063	698	774	533	322	534	642	290	322	633	339	472	426
C:261	1637	905	1162	1689	1200	848	1094	402	585	1247	1041	603	893	1007	2152	625	1849	1137	683	571	1001	347	615	951	658	712	774
C:279	178	935	192	765	809	457	736	452	640	529	326	293	518	402	139	624	137	436	343	242	382	289	204	626	201	504	252
C:281	8645	901	4852	5916	3052	2495	7551	3253	966	4720	5237	2595	6972	5863	6487	886	3048	4198	1856	1980	6768	890	4548	5191	2340	3857	3048
C:291	3423	300	1619	2663	472	735	1089	929	195	736	1301	423	915	1261	863	106	452	748	226	251	445	426	639	1054	472	370	328
C:293	949	18	447	694	144	205	513	182	46	308	469	114	472	715	735	10	352	432	60	150	410	52	191	120	203	161	213
C:294	623	0	253	220	70	70	141	131	0	118	260	31	160	447	338	0	174	134	24	58	91	29	122	166	74	55	26
C:295	673	0	254	323	158	219	496	186	0	190	329	77	264	642	1745	23	1171	273	10	171	317	189	245	520	148	158	151
C:296	1116	26	708	735	234	276	676	194	29	448	793	88	658	932	1251	0	664	446	75	201	691	62	441	603	266	277	225
C:297	1511	38	727	491	189	231	403	304	25	400	744	92	387	1011	1352	43	714	454	137	175	562	147	720	759	219	295	206
C:298	3698	111	1612	2374	726	1022	1962	1576	180	1404	2162	673	1783	2907	5522	168	3946	1321	229	617	1425	734	1036	2203	667	838	709
C:299	4117	222	2135	2930	821	1290	2291	985	322	1532	2681	877	2061	3142	2420	128	1402	1480	289	631	1537	133	970	1050	845	689	670
C:300	1054	52	614	865	209	299	569	264	65	499	791	166	691	874	2391	179	1569	1074	246	629	1264	472	1057	1152	947	725	872
C:301	3589	168	1409	1637	803	819	1642	525	209	1398	2289	576	1527	2591	3334	179	2009	1209	285	586	1449	334	980	1521	733	676	765
C:302	783	37	321	571	162	162	424	97	47	288	410	138	345	534	624	47	369	383	105	182	391	156	262	248	376	195	232
C:303	8188	612	4406	5438	2332	3714	5240	2684	744	3709	5653	1930	5819	6732	13004	955	9056	5575	1281	3895	7285	1782	4661	4713	4185	3522	3422
C:304	14641	952	6958	10680	3239	4144	9327	2459	1109	6087	10167	3862	9015	12383	11795	1091	6828	7870	1607	3568	10248	1591	6001	3651	4679	3225	4429
C:305	8528	482	3822	5841	1891	2055	4958	1651	629	3341	5567	1906	4737	6270	7796	687	4365	5092	1152	2052	5680	1169	3705	2444	3157	2057	2722
C:306	1578	30	805	925	139	423	820	323	10	364	732	237	699	1150	4999	212	2854	1624	276	944	1881	815	1426	1323	768	595	821
C:307	767	0	248	330	13	57	214	178	0	101	245	49	0	707	537	0	209	194	16	50	200	58	179	250	0	77	0
C:308	1666	56	798	1322	340	444	873	422	108	650	1071	390	1199	1518	3726	386	2415	1919	349	1184	2318	856	1554	1302	1583	732	1565
C:309	516	11	171	377	126	136	355	56	15	178	275	61	291	419	689	31	445	248	30	126	286	32	161	121	83	89	107
C:310	1118	39	409	659	132	188	494	232	58	363	751	171	544	783	786	31	334	533	88	158	554	94	417	274	358	212	239
C:311	319	0	94	100	11	10	66	10	0	61	120	0	68	178	341	0	147	68	0	22	60	31	114	152	33	40	87
C:312	1311	66	629	1065	317	474	821	188	111	548	956	393	1034	1321	1531	119	965	909	162	414	1118	314	728	451	565	329	536
C:336	138	47	30	71	53	34	34	0	22	83	47	26	63	39	15	80	18	40	22	12	24	0	11	27	44	32	39
C:340	373	259	180	164	278	103	171	122	141	352	288	24	143	222	253	250	112	146	129	115	122	102	193	416	102	166	153
C:343	2471	483	1611	1660	845	788	1128	518	413	1117	1618	564	1041	1756	1543	316	1164	1190	466	465	906	170	616	1161	626	573	500
C:344	3593	910	1996	3722	1733	1336	2138	399	559	1703	2201	1157	1698	2044	4302	1025	2926	3109	1041	1381	2262	1132	1406	1460	2159	1059	2083
C:345	1542	55	852	1236	317	411	614	298	45	403	765	268	793	1220	3754	311	3228	1568	440	1095	1517	776	976	1491	989	496	1225
C:346	3093	744	1899	2178	1000	1033	1023	1360	611	1488	1642	675	1552	1576	2389	456	1982	2189	1025	924	1485	653	2328	4460	2108	1683	1426
C:347	2530	522	1613	2270	921	1365	1554	1575	561	1121	1560	865	2241	1788	2871	639	2386	2667	1136	1651	2680	839	2061	4135	2892	2040	2357
C:348	360	15	182	254	90	68	133	64	13	127	240	38	101	187	278	10	206	207	56	48	121	53	221	588	187	82	111
C:349	145	11	122	121	17	42	271	0	0	12	445	12	73	31	200	15	147	93	10	40	192	146	115	190	81	74	49
C:350	362	99	265	203	138	160	238	161	117	325	341	59	292	299	475	121	303	330	153	143	295	72	409	489	259	235	239
C:351	267	40	166	226	52	121	118	109	64	134	158	138	123	127	294	45	190	234	80	133	191	28	342	572	208	83	162
C:352	190	25	58	169	74	31	61	30	11	76	156	14	85	65	258	10	194	240	84	91	127	20	181	144	189	128	122
C:353	107	25	97	86	37	31	41	0	11	44	81	12	42	71	83	0	67	118	19	45	91	0	68	59	104	38	50
C:354	257	38	144	180	52	75	107	81	46	87	214	51	187	208	133	35	50	159	48	61	123	0	120	150	128	128	101
C:355	271	31	200	331	95	151	203	186	33	81	132	82	193	199	119	0	132	261	53	84	215	158	194	803	178	156	36
C:356	252	37	195	254	101	178	175	94	17	118	147	105	193	158	370	48	350	320	94	156	287	277	216	370	288	143	232
C:357	206	55	185	166	53	79	139	30	29	98	200	96	87	102	141	19	139	168	43	60	174	10	182	280	62	83	72
C:358	20	0	28	21	0	11	11	10	0	0	0	10	10	10	24	0	22	10	0	11	20	0	0	135	0	0	0
C:359	51855	5288	32661	29433	13288	16179	20979	14437	5124	22134	35934	11133	23713	28123	41623	5936	31904	31727	13412	16343	27475	6452	43415	54644	27681	21852	27103
C:360	5475	450	3211	3108	960	1457	2067	830	371	2330	3722	1140	2370	3243	5768	370	4282	3402	1072	1738	2856	254	3612	4077	2470	1538	2918
C:361	2840	211	1851	2549	741	840	1667	1428	188	1068	2182	875	1647	1785	4045	365	3856	2659	695	829	1615	1447	2323	5250	2133	1392	1799
C:362	891	39	489	599	191	175	314	73	27	249	436	100	336	482	1175	150	1204	796	227	469	537	154	813	1065	851	347	803
C:363	980	16	546	773	160	306	539	252	15	250	599	210	369	512	1773	228	1542	1244	371	537	765	193	809	1512	1177	449	813
C:364	860	47	478	713	186	125	361	59	64	282	479	113	322	503	1003	92	776	954	176	184	335	190	372	480	434	159	358
C:365	974	71	569	776	241	213	473	82	73	441	671	186	494	680	1415	155	1155	807	286	299	557	265	592	732	764	284	544
C:366	414	19	199	297	44	95	131	124	14	89	279	96	203	175	321	11	172	237	34	38	84	44	185	385	117	55	139
C:367	489	34	340	106	101	124	216	144	41	191	394	142	237	297	430	39	367	152	163	148	296	111	457	714	317	81	293
C:368	189	0	123	189	42	77	214	219	13	53	129	109	118	74	1496	251	1490	891	339	384	706	261	921	1710	1017	343	935
C:369	318	14	62	157	61	45	125	19	0	106	75	19	23	120	373	15	248	129	34	44	120	0	118	175	102	54	99
C:370	643	39	303	1554	177	119	238	27	24	238	421	89	225	380	1151	101	947	1211	223	252	356	279	499	524	574	236	456
C:372	669	12	296	447	123	100	221	26	0	207	392	58	210	377	834	75	635	485	141	161	275	28	318	390	401	170	311
C:373	52	0	35	57	19	36	76	132	0	0	37	15	53	23	511	76	506	338	114	118	219	76	274	464	346	116	257
C:374	271	0	80	188	49	63	174	33	11	63	117	46	92	108	418	55	422	243	80	106	133	69	128	238	297	69	179
C:375	357	26	230	0	84	57	152	10	0	103	207	58	119	188	568	48	513	0	69	87	134	121	158	188	230	0	178
C:376	549	70	257	255	162	199	181	266	38	137	380	102	264	277	716	111	550	381	160	235	270	51	589	1007	362	360	367
C:377	148	0	82	118	24	19	57	12	0	36	90	21	62	66	121	0	43	84	12	0	69	0	45	52	24	32	56
C:380	3907	1233	3452	4907	2186	2088	3607	1521	1296	2330	2900	1766	3898	3718	2926	1188	1957	3236	1281	1720	3063	1066	1761	991	1967	1856	1972
C:391	61	0	20	10	11	10	0	0	0	0	14	0	11	47	101	10	11	0	0	0	0	0	0	0	0	0	0
C:392	3034	1435	1643	3462	1994	1849	2435	1228	585	1719	1390	1006	2022	1985	2056	658	1510	1409	645	729	1240	205	478	896	690	591	550
C:393	430	190	316	643	193	330	437	449	71	200	285	230	443	232	226	206	172	377	93	210	359	112	107	431	275	232	129
C:394	2150	827	469	1205	696	741	677	708	589	1735	1350	244	1323	1665	1663	872	508	1026	352	599	666	203	746	798	368	776	696
C:409	486	355	259	518	423	193	438	78	176	482	341	134	250	418	279	102	279	61	29	22	86	81	38	108	61	71	141
C:412	6283	3286	2573	3185	4758	2274	3856	1474	2111	5120	4200	1206	3880	4111	12879	5571	10500	5077	3991	4033	6043	1196	5199	6058	4080	3799	5874
C:414	277	180	210	372	160	250	351	130	100	242	230	176	266	217	222	115	149	260	92	168	225	25	145	181	128	144	111
C:416	1386	1050	830	1129	1382	811	932	856	737	1475	962	391	878	1125	3608	2316	2827	1690	1348	1169	1474	1189	1402	1983	975	891	1489
C:421	1664	1286	1104	725	1042	414	724	989	810	1632	1427	335	1022	961	1056	815	655	723	772	236	660	261	918	1021	463	977	474
C:425	562	243	259	365	287	218	306	92	148	330	329	117	253	369	711	422	707	289	178	202	182	81	276	391	179	190	291
C:426	410	191	223	445	318	238	309	129	81	253	201	94	207	152	872	394	1325	413	170	444	412	81	70	945	633	667	435
C:432	133	112	138	229	94	126	157	24	44	99	119	90	94	97	349	205	350	183	69	113	165	140	83	124	94	64	239
C:433	1157	340	587	804	641	407	562	238	334	875	687	224	617	754	1274	528	907	907	529	589	856	369	717	593	818	589	815
C:434	1434	496	525	766	555	313	630	390	318	1040	848	156	620	757	6536	597	4384	614	309	363	872	2868	706	2394	477	736	1036
C:437	13492	10667	10222	16161	11729	6189	10976	4275	5959	12503	8058	4982	7967	9114	11964	12803	10307	12923	9909	5891	12045	5379	4782	6259	6757	7821	10042
C:439	805	201	363	663	407	244	547	375	294	508	504	217	447	562	400	139	200	234	96	73	222	279	208	554	172	222	192
C:444	275	214	183	457	267	259	245	184	100	352	197	153	221	216	258	279	199	266	155	144	197	41	106	138	156	125	229
C:445	1882	1004	1049	1842	1621	750	1183	524	819	1959	1202	626	1001	1351	1301	1125	884	1109	861	457	944	213	640	608	703	619	1066
C:461	565	193	203	292	331	133	227	92	132	336	209	60	199	259	370	219	197	396	256	122	278	48	223	139	151	228	283
C:462	637	501	355	480	258	457	323	175	302	362	396	211	356	330	1112	365	514	328	239	267	252	843	822	625	118	429	380
C:463	763	638	269	452	359	361	373	160	307	553	486	269	385	379	716	390	490	199	190	216	268	97	214	519	137	256	231
C:464	424	193	240	397	217	228	232	64	173	350	239	104	261	231	911	371	685	244	144	150	326	140	201	329	130	154	199
C:465	738	358	308	499	541	207	357	157	263	711	403	137	317	498	517	219	322	239	141	125	161	166	170	351	161	153	179
C:466	607	187	231	224	172	111	143	96	82	422	311	22	162	308	2562	1028	2025	650	496	636	839	485	879	1289	544	538	915
C:468	1178	476	684	1850	662	428	669	387	333	733	563	346	597	507	1134	500	792	2003	620	528	845	84	446	481	1226	573	743
C:469	467	271	173	434	172	297	235	273	285	334	217	170	154	132	462	224	281	401	245	288	258	267	290	713	242	301	248
C:470	36	23	0	17	22	14	0	34	10	32	29	0	24	14	172	129	161	81	70	41	78	32	117	204	31	81	62
C:474	311	152	169	374	73	131	169	40	38	93	122	86	121	105	439	193	330	259	88	131	234	28	76	71	119	60	160
C:476	271	26	65	82	61	54	21	37	0	118	144	0	69	156	350	80	237	124	80	105	219	74	165	144	95	113	56
C:485	419	74	145	282	180	111	154	105	36	272	210	46	220	168	333	166	237	367	179	96	314	0	203	303	221	192	196
C:487	122	62	62	109	65	69	78	11	29	72	85	40	58	62	130	118	84	136	51	50	73	0	55	12	112	31	141
C:489	453	324	334	847	261	461	482	366	140	325	287	298	857	268	286	222	262	833	298	391	745	266	251	696	461	449	264
C:495	10689	12761	4798	12341	16766	7921	14424	2305	5686	7474	4411	3207	7029	7599	16059	20141	19011	14173	12996	9704	19012	5720	3110	6706	9103	9555	17005
C:496	614	286	310	334	213	145	212	89	113	390	475	93	198	262	372	184	177	307	193	121	188	0	291	234	190	170	252
C:497	266	133	179	295	171	123	190	54	48	211	136	124	193	221	222	85	157	134	62	43	126	28	48	44	72	89	111
C:498	159	137	114	205	195	63	140	84	67	150	90	33	115	164	130	103	93	91	65	17	66	35	46	74	44	58	54
C:501	4888	2878	3157	4823	2897	2229	3037	1509	2237	3998	3608	2077	3827	3198	2952	1615	2074	3199	1611	1629	2744	1545	1893	1840	2530	1957	2667
C:502	208	62	90	252	83	83	109	53	23	177	99	57	131	132	159	152	113	250	119	73	194	130	204	501	171	183	115
C:503	246	372	124	201	228	181	207	587	395	321	150	105	185	148	149	314	104	138	168	166	203	609	307	906	170	427	250
C:507	134	84	100	138	44	48	105	85	48	108	102	36	74	103	58	79	53	82	56	29	127	286	53	81	74	101	76
C:508	6161	4591	2664	8829	5185	5708	4870	1950	3290	6528	3497	3746	4245	3895	4538	5185	3480	5256	3273	3633	3343	2350	2870	2769	2535	2332	4284
C:509	3898	2254	1440	2165	1622	744	1059	559	996	2163	1805	475	1094	1387	7647	3046	4658	3844	4554	1748	2588	2937	5112	4716	2741	2928	4247
C:510	616	378	430	738	434	238	404	29	133	338	237	163	337	268	539	281	389	609	294	184	445	76	89	130	240	156	336
C:511	6402	3436	4041	8824	3789	4253	4148	2053	2061	5311	4075	2908	3613	4209	3253	1901	2347	5635	1887	3917	3922	511	1615	1351	1705	1472	2150
C:512	112	0	111	154	16	57	59	18	20	25	53	28	44	40	61	0	48	112	31	40	58	38	41	115	39	20	46
