pc1	pc2	pc3	pc4	pc5	pc6	pc7	pt1	pt2	pt3	pt4	pt5	pt6	pt7	cc1	cc2	cc3	cc4	cc5	cc6	cc7	ct1	ct2	ct3	ct4	ct5	ct6	ct7
C:43	10.6521541872323	10.7717189297089	10.3068782269178	9.88371521842563	10.3893738943163	10.1449868533237	10.1236616258655	10.4267469025512	10.4705927662172	10.6652989043517	10.6016636563459	10.0788648009659	10.1926714739864	10.495394824257	10.444011385347	10.2009732414609	9.96795237431244	9.83087556406697	10.4729104829736	9.7712584569663	9.75871485251762	8.63597512946816	10.3994790559482	10.9125412970396	9.62730633629695	10.2066386411848	9.75062572349296	9.80260896523405
C:44	8.02751932043825	8.67403960716601	7.74329935323808	8.7049298437374	8.56281616690076	8.95948581100268	8.56989833347189	8.41843191359517	8.80099309657224	8.5206810101896	7.82688192366815	8.89207704347421	8.29044273887714	8.16638267508156	8.61503610107777	9.11234839239792	8.71066480739837	8.67355311787227	8.55752464654944	8.78332070781416	8.5646867807086	8.96190892387939	8.23549076433662	8.59728021058097	8.29213736148144	8.29301214869853	8.55010500319076	8.57810511212188
C:45	8.243996921482	8.4931794322632	7.89527799399694	8.46578261245832	8.37242983658234	8.8089379898089	8.40055135210393	8.84837944450979	8.57120599309487	8.33601781693724	7.91878063760083	8.81588058641544	8.43082823302128	8.17871824790658	8.29313335315413	8.76242694289747	8.21369602507931	8.62485623733241	8.55965753050059	8.66143359681033	8.41930142070403	8.26422567192006	8.50433209976705	9.22505013619746	8.52357784030278	8.47982658770314	8.36714089019811	8.41147093580252
C:51	9.5525196803461	9.92797995839723	9.43286403825094	10.1574730288993	10.0446079473023	10.0486819658193	10.0854599385021	10.3481561982864	10.0182794180959	9.69671904431718	9.54766788240778	10.3261776482912	10.157866221066	9.61412777410425	9.43948114145153	9.6070093133725	9.44344468586816	9.91268425117383	9.80213134414485	9.69518888077321	9.84407070127786	9.42890323422231	9.23093423374437	10.0575862187865	9.71853300568583	9.76545036917892	9.57484477799634	9.56278013359908
C:52	6.73371599373472	6.57928621752556	6.44901995312331	7.83868888069012	7.14986306506847	7.56184370446479	7.33098754281801	8.10428125447701	7.44014410238936	6.69773461342389	6.70038373873846	7.45942326569279	7.27678648058343	6.55451468540492	6.95309029349914	7.32342272937794	6.87645879203536	7.56989143136769	6.98482235340335	7.30986089616503	7.05262786755691	7.10168709071699	6.50131235206773	6.89100614855744	6.89507030547167	6.70182661766618	6.84998080495344	7.36809474141784
C:53	8.90776212917881	9.1613250766837	9.38875751251501	9.23541366816531	9.09331673150994	8.89805250939946	9.69898651436006	9.5513980655531	9.25321131901528	10.0948714262876	8.6377529298291	9.85377011770153	8.92168050918073	9.53994558830039	9.11989449170854	9.22050720228125	9.85536893186313	8.9488218142969	8.75636753647883	8.6677055095305	9.40248537432909	8.74711108697818	8.37473440799208	8.60621988784029	8.14470063926242	8.0541036154834	9.47603002126604	9.28480661659017
C:54	7.62345278551895	7.87494594920995	7.30008080834465	7.80300285257634	7.44445378259947	8.17990960546879	7.55616760470565	8.20620376033547	7.8770768881051	7.45496281684699	7.36898278401172	8.23147891013652	7.61300436207571	7.56861576389678	6.4613895462214	7.52669840219041	6.65183719055163	7.55676770246621	7.15760857113407	7.82205835085194	7.1254502603147	7.09446172688365	7.23329656616625	7.88191134404674	7.21818137388079	7.29467906935978	7.01341340345305	7.14966550443844
C:55	8.35864611287743	8.45954332978239	7.78125081487115	9.31298041408517	8.7961945135407	9.32745009510985	8.90560723531293	10.0198981579901	7.98956860220514	8.26790728894909	7.62195104816832	8.5885265540296	8.70225357792235	7.97107803283566	8.37968186684093	8.65556228531722	8.11626450619601	9.17142176569641	8.61836709316308	8.94058935752142	8.85946772317581	10.1096770321111	8.91765018962053	10.2905670864347	8.35722288016952	9.00438650524899	8.61266177565685	8.71855700946568
C:107	11.5713958485594	11.3652028924416	11.2222121946553	11.104503498165	11.1571005590448	11.0069289709426	11.0414057918085	10.9547090282864	11.1508044041366	11.7804084734396	11.6175381771462	10.9886587859705	11.1910539377182	11.4357506744448	11.9536777309783	11.1355974034609	11.7758571650714	11.4172700394907	11.4846882334971	11.3039586693597	11.4454000740804	10.5567640443832	11.6870541705006	11.704186613919	10.9605337705551	10.9977774172221	11.1568340994821	11.205300459029
C:108	9.79028937158899	9.67724842149792	9.56318988151277	9.35385206131214	9.59018682264316	8.9566021889387	9.23847754571184	8.72885164522878	9.27366600056617	9.90799150215409	9.74335946983157	9.07868575109109	9.31561493719764	9.6176097942821	10.5586858653664	10.2314758754344	10.6230823841402	10.2639107909245	10.48978486356	9.96118332361335	10.2240945118975	7.70568631619434	10.429538189373	10.7462601719262	10.4146727600587	10.1443947767076	10.386487967795	10.1400987936205
