pc1	pc2	pc3	pc4	pc5	pc6	pc7	pt1	pt2	pt3	pt4	pt5	pt6	pt7	cc1	cc2	cc3	cc4	cc5	cc6	cc7	ct1	ct2	ct3	ct4	ct5	ct6	ct7
C:1	15.5334452664394	14.4357741478049	15.0291052665858	14.9344049372313	15.0554828369752	14.8084230408024	14.8137547791638	15.3983710635084	14.7867965878551	14.9559631544588	15.4543115473085	15.0537076669738	15.3461650729316	15.0573748664524	15.3499627453868	14.7221883905241	15.1643410975451	15.2078838415772	15.1145759894381	14.9891751092043	14.934690250499	14.3276725178937	15.887311616357	15.5045873012113	15.3450721631543	15.4923177902334	15.1727219963726	15.2708952673594
C:11	17.4068135712509	19.8825302245547	19.4949809913044	18.1707353641425	19.3083697543171	20.8715310108739	19.1954247934771	20.8573367454703	20.5874844453138	19.2605093550997	19.0495239268857	20.4662819907064	20.3149251567951	19.410400542502	17.0820442837774	19.7231438716405	19.4483808841759	18.0668254351661	19.2602081635541	20.8246885510875	19.2660691465935	21.7232044477631	18.8200786193775	18.9653099322289	19.5645110319442	18.9523861984252	19.5614117565187	20.4691877277519
C:12	14.7514379660188	15.22674262446	15.4465582759841	15.0240551605409	15.1608356412084	16.6118633538603	15.7665526676187	17.6792818424819	15.8871130599082	15.4551185021221	15.2969907992343	16.566591572573	16.820490326844	16.1432357397472	14.3558653543656	15.1467092962603	15.4114273684081	14.9177153673198	15.1198049009135	16.5803613924327	15.8273994978181	17.0372888425966	14.9325342048738	15.2237717804895	16.1343379360075	15.8399085291176	14.8897845024543	16.8225953495532
C:13	8.65038547501888	11.0239538491511	10.260007403695	9.12321917822578	10.128191740966	11.6703602321792	10.0922648604608	11.6107358675682	11.2077824014866	10.2273067328936	9.80146627051101	11.5045477117372	10.9673834650101	10.1004808672129	9.18327569695227	11.4238577607987	10.3805180597176	9.88408621468904	10.9281184584259	11.8458927613908	10.6320355621637	9.56916410244214	10.4550262994496	10.6174668359592	10.9093937312601	10.6726649805615	11.1171261041946	11.7574133002222
C:14	8.60051732621649	10.606937967698	10.6603676876171	8.91901645219936	10.4629504693874	11.6084278637871	10.0107145012976	12.1935089290233	11.6212922675092	10.8235865153843	10.6121756792457	11.2006034554205	11.4421752529761	10.5013394546219	8.16849396912936	10.8268406329616	10.4160887480027	9.00016627435294	10.5112917780786	11.4839816086094	10.0719464841527	9.19088500220446	10.6987992440145	10.3964204049041	10.6846054022913	10.2862857185924	10.7345023141516	11.8402014502889
C:15	6.93139317651899	7.87216723301751	7.60093201544698	6.67275536047268	7.64194296335778	8.53181321543156	7.36690660891118	8.40303807111603	8.53209459792095	7.23995979637695	7.08961238343629	8.13046583556949	8.04763766484118	8.31839355768581	7.02911321646627	7.92028502679576	7.78634846628742	6.70146203264539	7.54687949703335	8.69857616499843	7.45505089470588	9.68028396732166	7.13502672761415	7.03615839311275	7.57069916551251	6.98868261072145	7.79170156832689	8.49336583870256
C:16	8.33130868107905	10.050469312176	9.47602479744375	7.78214949815116	9.42301142348859	10.3438345423638	9.30485649830141	11.490106312277	10.7146089056342	9.18397393850087	8.98618624825479	10.149377606015	10.5214358899701	9.69205822608352	10.7676737760401	10.4393833789485	9.60848167804633	8.17062638598935	10.033098999779	10.4739485453262	10.1572276629957	11.6622381970597	9.66287891899965	10.6128359420808	10.565004207479	10.5699588625369	9.89700820506201	11.3699019598645
C:17	7.86011833171783	9.22571631321928	9.14263955728589	9.13098946356875	8.85174604366558	10.6231149374462	9.28854931061566	10.8134812983509	9.92305910467201	8.83582110371908	8.79033787005758	10.3717929199156	10.3907310876461	9.34204055227587	7.59129362524722	8.93654261442155	8.98234540512719	7.9834834728515	8.80342862602837	10.0630407932571	8.86744503561169	11.4107940492125	9.12635858539095	9.93745805535881	9.79406415964564	9.78767510775432	9.27527449519439	10.076777721289
C:18	4.9159840186865	5.76928803201925	5.09020517732271	4.54132751112004	5.90751792122897	5.8263739047136	4.57276233038525	6.58468196824534	5.88006279793531	5.16330577336472	4.57243940174416	4.69088092017352	5.54811417291837	5.38273702728605	8.81326838340236	7.90188992052673	7.52815183203267	6.95959152735501	7.3513644239414	7.93994624309161	8.25714746420616	9.39224174752616	8.79738947563101	12.151398192903	8.14621392570758	9.6391972830031	8.04246875330862	8.20473157151303
C:20	5.5546901514822	7.32635030393623	6.84503796425263	5.51897306766176	6.47883684593697	7.89309236560497	6.64159767137682	7.91704630962661	7.61345094452358	6.47800951204443	6.06338176205256	7.57789621168657	7.46044536607666	7.03880846254832	4.5988684170752	6.66737782584037	6.43340947522441	5.21661926512235	6.56511605970666	7.5341607069199	10.2270391785384	8.25466023066186	6.30258343729927	6.46862831470786	6.5727689734317	6.43509114407881	6.50023879332054	10.869195228165
C:22	6.30459524033386	7.90076342607398	6.35284868854448	6.9560012951059	6.9169494587904	8.23373948125862	7.01735995993136	7.12543338942516	7.42768474415486	6.54379141850515	6.56748355423224	8.56785396330562	7.48992770930744	6.39056279532598	6.25802411156235	7.98937772202289	6.75014977346746	7.01672441332873	7.15007453281506	8.3372087289474	7.33234344979872	6.37449165447712	6.87932552197347	7.17923866940935	7.5552914254146	7.09306072404067	7.8207043652019	7.70397585735558
C:23	5.7423284932631	6.81405426058341	6.82265291096768	6.11855219911795	6.67277532107135	7.77204204030733	6.64574800365887	7.70353220085186	7.36857107494794	6.69804694467294	6.29067644861276	7.48642435502217	7.46033608169046	6.91699006257083	5.8692074137676	6.96462782701916	6.91417695810192	6.04489139918212	6.59935088644479	7.56134932430562	6.76010162457735	8.39982606484002	6.35285902333998	6.65000091841502	6.7491493191196	6.46226277494501	6.86515334858912	7.64819525633251
C:25	16.1696084124991	18.68837342568	18.0007802340321	17.8562018749114	18.0114882570116	19.4598854434734	18.7839831824958	18.9847605272376	18.9217959363455	17.4867736206766	17.5469678200635	19.594207304763	18.7906909170903	17.9444622709827	16.2234236643674	18.5579906728005	18.213937190356	18.0892264563936	18.2836007127653	19.6992939602075	18.9376254484865	19.3215093427079	17.7018884176485	18.3521331768101	18.8170787654968	18.5363027799686	18.7274897877756	18.9479203970377
C:26	9.86789374758445	10.9008213271343	10.555842350181	10.1777901150837	10.4686231321155	11.8544495840158	11.9597065533896	11.586604491876	10.8386926676579	10.0352993330344	9.71350670400605	12.5443414512675	12.1596431941599	10.9305284765997	9.19124966137033	10.1280157476363	9.14884278006232	8.54521786945358	8.69166172358639	10.0601229521432	10.0539376100434	9.7774689962979	8.30800616043814	9.51845867268622	9.8935654262094	9.77835843430738	10.3108111330355	10.1561686783382
C:27	11.1377329596163	11.7666314906178	11.7433249199966	11.237321068988	11.4347800853185	11.4194083182705	11.5958791200381	12.4104892942077	11.7484620485747	11.4591788159872	11.207081408723	11.9539359801102	11.6127807014758	11.3338342582679	14.2611591412802	16.8698710552996	16.72963049552	16.4517535078577	16.6720259629375	18.3077536808164	17.4100250532038	17.7136854558272	16.1238978021628	16.7436539754776	17.3101173130484	16.9160544439957	17.3359381128288	17.5052773004053
C:28	11.0519458172624	11.1506738794448	11.6265615347999	11.5122545788858	10.9727396583183	11.8794402395741	11.7096016721113	10.0537674881548	10.5781335203521	10.5398864357383	10.5759976385851	11.5775603638049	10.7602812820262	10.9128332038617	10.8690345424284	9.88380678632127	11.2945053148394	11.8082957184073	11.2882522401243	11.6430025772432	11.9384965977622	8.14953833023852	9.90953286062659	10.2670183627635	11.1100105754555	10.7441667432939	11.2078101380762	10.5234647958784
C:30	8.7620520788086	11.4725485257455	11.2848179845947	9.76727075733817	10.9923235158725	11.6056635532151	10.5979291725011	12.4460260224236	12.2006386524608	10.9387219495019	10.808608305701	11.4887168465147	11.74560698668	11.4361356006644	9.7812539063211	12.188305411621	11.8160655201702	11.6691422387702	11.8480145109678	13.3352573100014	12.6259143568086	12.726299839139	11.1827748486126	11.8440103409299	12.4754426476485	12.0992576788428	12.4341924203465	12.7148872217021
C:31	6.63694460119181	8.75138124805757	6.44467683736115	6.519746432008	6.42100572341948	7.70533980648988	7.23660087462112	6.94506526531993	7.26552748768387	5.98771535686638	6.30161466190013	7.91201314029124	7.19324190402253	6.59816290031343	5.88504249933188	6.96511142538235	6.74276111272662	6.58897992179661	6.83131095819042	7.72320863380286	9.23173559091138	7.43707794209673	6.39889815167898	6.85018331343582	7.061904474953	6.90661267553024	7.20560326936287	9.2081945562275
C:32	10.1113955092469	11.5452251571497	11.1663615488441	11.571551828178	11.2592877132561	11.491228081932	11.4570220836743	10.6833764237475	11.2992776928217	9.99726441623358	9.82295420695501	11.5348080925665	11.1179522342485	10.3802287026195	11.8251925130081	12.2458219005077	12.9527037892367	13.1380150430476	11.9782096031256	12.7340795690783	12.8301558202477	12.7873908411814	10.6821152836386	10.8425255961437	11.2961932423764	12.2641963723885	12.7827459110976	12.5606550516789
C:33	7.91486778515092	8.93788060593721	10.6296393773516	8.47372313211438	8.48373566096846	10.5349400274995	9.93375201628436	11.3957448260697	10.7105975295512	9.9107424350147	9.76990692729923	11.0263616616364	11.4651528223543	9.63317074044997	9.86276209275047	9.94591097264453	11.4259175161218	11.9227445151973	9.81698361867021	12.5633510496435	11.8028863268588	12.6985844430402	11.5684629300937	10.9294894751945	11.4503308749408	12.3873369320549	11.5350004815122	11.7012889641642
C:34	7.75593984736114	8.04992598809266	8.60745779411899	9.49535972332266	8.03611385729984	9.87473317347796	9.60998595076412	7.99374494259432	7.65465248775197	6.30438200954113	6.50965008561821	9.2196490179165	8.9019991980666	7.32236929612916	9.85021801601939	8.95162978827226	10.6311245985494	11.4678922989305	9.20122665624495	11.1731782921039	11.1047078027612	9.95491473582464	7.77779383774761	8.29622604889772	9.27971801756306	9.67311297429352	10.0324825456166	9.98006722602784
C:35	7.68019627634327	8.04370046564824	6.85558810247519	8.03280450714406	7.48884145152162	9.29276142331831	8.16112942996089	7.64682334565307	7.99130248525463	6.78220515069553	6.33850295371109	9.15098424159784	8.0158231895878	7.06366284630188	8.80741322220268	8.8622036412842	8.62368989177455	9.03129161914156	8.63561118835991	9.91348215536972	9.16392886546488	11.1359701221072	8.25749752503125	8.48799280571525	8.58482655748348	8.52538340764726	8.91939398117804	9.20554154452187
C:36	5.52345726040108	6.65917705837864	6.37903894035267	6.67744453709463	6.71056952221501	7.6094022306825	7.36899081911016	6.81037625431214	6.31926724555448	5.26193605447409	5.25978494693349	7.18353325578979	7.07286217477628	5.25507860402781	8.47620556947121	7.72436471811821	9.49051872394819	10.0751121550344	8.01251233294581	9.76887129213091	9.86182364135193	8.50591579643779	6.47554471346136	6.39860222455601	8.19453776629635	7.78419070371557	8.81070086203327	8.76457823265176
C:62	12.3997637725528	14.0960007160275	13.9870250709978	13.2372046618625	13.743913183151	14.3431222274996	13.4716098234769	14.6401784157862	14.4369458651577	13.5087106864749	13.3658401870949	14.1846134066785	14.2704525044709	13.0620475368916	12.5983173527335	13.9443174384877	13.9012323305093	13.075780160356	13.519345969588	14.0199971544146	13.6051236750503	13.9751988670082	13.9207702753654	13.9508646171688	13.7599604344718	13.9508206649993	13.7255584994775	14.7614875821659
C:63	7.84715701195877	8.30311080294631	8.67943803784617	9.44927141104009	8.17386987111051	10.7644100890059	9.93469938270903	9.77021407858996	8.92079293718717	8.17413000226919	8.37027178445978	10.5008962155335	9.91624939669235	8.13734879401334	8.24285794773098	8.35742094412678	8.71197009466278	9.45016462318396	8.02302914653723	10.4230895694618	10.0739422042102	10.1347880249445	9.01664219938357	9.12946734984479	9.13153431254055	10.1146491466579	9.24673428947848	9.90453964969872
C:64	8.042959525306	8.84064765615913	8.8266195496967	8.69660792605119	8.53755352168524	9.55490531136157	8.81416814981325	8.80818678080248	9.12827580098099	8.19634532824912	8.38125939934282	9.14100656142848	9.22765606920797	8.21231736225355	8.22084866050841	8.94517031681709	8.80757149713498	8.50805469449438	8.30704621182829	9.35338027249358	9.13085331507025	9.94798783402309	9.00378129702759	9.72678130733115	9.10732774684689	9.56691141448722	9.36662219603332	9.71985439232593
C:65	15.3168832914426	17.9453303288814	14.8087506589273	15.2377750448689	16.6631117221864	17.1167596432724	16.9676379537189	16.7532353519107	17.3464179735253	15.8050858362691	16.1872146429035	17.5001764288551	16.9825496979185	15.3366104714181	15.006327341591	17.8146038072206	14.5920750817694	15.342577138853	16.7686804767653	17.1862902500742	17.1897081216238	16.2168548267125	15.6539191018643	16.644708264887	16.8727411417544	17.1313407987454	17.2593696784566	17.0566324620334
C:66	12.3634489202436	14.5491670380418	12.6759423205992	13.4002126671454	13.6517363029206	15.2508968614651	14.5401256242284	14.2377501682628	14.4033328396916	13.2484666838967	14.3996551828679	15.0247780585981	15.2233987377704	12.3754988084287	11.9968466248861	14.384800014468	12.577216182191	13.446004264798	13.7028884139656	15.3254923349082	14.6652278042396	15.3275789622538	13.213124100979	14.3896033928947	14.4904976864971	14.3417227889702	14.2157854244136	14.9196046511499
C:67	5.73899092825905	6.53119745184615	5.18813212253239	5.18588726358348	5.52821340451188	5.78897234753064	5.83549207909661	5.51149602739779	5.90051571931951	5.38288213550736	5.46977471237667	5.84409188552179	5.62180424707553	5.18796900098197	5.18678709865256	6.90045037077646	5.19145814694799	5.92654756765593	6.56086602412371	7.86245337209488	7.12129559690377	5.6174898220386	6.4644076924202	5.86835454136342	6.65920450180556	6.59818212198105	7.48708012900988	6.85425572692174
