pc1	pc2	pc3	pc4	pc5	pc6	pc7	pt1	pt2	pt3	pt4	pt5	pt6	pt7	cc1	cc2	cc3	cc4	cc5	cc6	cc7	ct1	ct2	ct3	ct4	ct5	ct6	ct7
C:1	15.5334452664394	14.4357741478049	15.0291052665858	14.9344049372313	15.0554828369752	14.8084230408024	14.8137547791638	15.3983710635084	14.7867965878551	14.9559631544588	15.4543115473085	15.0537076669738	15.3461650729316	15.0573748664524	15.3499627453868	14.7221883905241	15.1643410975451	15.2078838415772	15.1145759894381	14.9891751092043	14.934690250499	14.3276725178937	15.887311616357	15.5045873012113	15.3450721631543	15.4923177902334	15.1727219963726	15.2708952673594
C:2	13.2921935330532	12.4285192203296	12.8535532745522	12.9408959027622	13.0056664296402	13.1345464436251	13.1951829504197	13.4121441163927	12.5567849912416	12.8118655400812	13.1929583412218	13.0863028017456	13.3350787673031	13.1521172794148	12.8306182597212	11.9536423755661	12.6693805817981	13.0471002149177	12.9644497236599	12.8268183981179	12.9028804043186	10.1751502535049	12.7747164305658	12.9145626414437	13.1032647539282	13.2091590091418	12.5238226219235	12.527159157495
C:3	6.01239863625412	5.21581272195129	5.95202206270426	5.55915652211348	5.21313250169313	5.21544265176095	5.73573715945684	7.24856045870975	6.28493851940535	6.54620316895147	5.94959161672243	5.2197931428637	5.95460981564136	5.81679708208804	6.17056611429678	5.41141071791893	6.10042477368514	5.80061516740432	5.21709222536098	5.49765632677062	5.36059875126994	6.41449032041062	7.15590203610017	6.29434993374173	5.64753623540206	6.87437980048496	6.15795982408023	5.21479815281299
C:4	6.89998163311962	5.71145621927029	6.79920885803884	6.29195560014198	6.08270263317554	6.00045998024028	6.39469557628208	6.18098686855067	6.22530631777356	6.26354659352066	6.78347220773915	5.98660233465181	6.05245461575738	7.1997558466157	7.19321273906823	5.95460365375265	6.82821765868098	6.58944184512996	6.19284045980892	6.45503336798064	6.77925671866299	6.9016471509035	6.44316997569514	6.78738447349456	6.74804788570397	6.68213473206612	6.43609800882618	6.2052476051758
C:5	8.36018025994576	7.57028606378309	7.36483091930942	7.97864996451118	7.43728239417913	7.57362812000695	7.96268120968133	7.85233846146707	6.95734055495567	7.41608389050369	7.90401663978847	8.10347737375771	8.27305893406071	7.41952709139565	8.31340264820906	7.5831195951617	7.86801528675123	7.80702911257272	7.33945847102585	7.90617330416705	7.64316649569835	7.97344377289021	7.65596392159511	8.01245849214722	7.81309867651257	7.82394651795192	8.41908280647232	8.0523414500879
C:6	15.3906571023626	14.9776002721177	13.7850986396621	13.2107125027043	14.8139745643731	14.6744336270498	15.2379697684546	14.4713806621696	14.8475507473664	15.4816716050781	15.362592888804	14.5686791466571	15.582073118651	14.1817975947901	15.1438651595924	14.3125788636085	14.0509549142917	13.6887083764288	14.381803827036	14.1746877987594	14.719795571942	12.8459102995468	14.2924579032418	14.6883307275573	14.4953611810307	15.4795513402257	14.5912623409091	14.5400570761521
C:7	7.01717018580938	9.28551112033044	7.11226494476522	6.24553682242854	7.68987139735298	6.70277639055882	7.06688569225932	8.71374893190983	8.57135532508106	6.86084497332953	7.19400809011529	6.72378917343131	6.57324435120774	7.27055121232006	6.67369135667368	9.10167155949142	6.58244005373252	6.68385662020421	8.07639893482044	7.33052836932188	7.2612402028069	8.72740440285975	7.53389546170081	9.42709714586746	7.42540342060148	8.73826487686022	7.75989651322208	7.29168088755051
C:8	7.34470092131406	8.99854398660571	6.14794541683633	7.47277196193026	8.05989282523002	8.03862501251699	7.85369027537021	7.04579528482893	7.92445083886566	7.34463352697272	7.00199450024256	7.47626566999383	6.64002211357009	7.09211053425547	8.96958778277887	10.2690173599066	9.86673920196467	8.19457164734088	8.96959684185287	8.52870960499042	8.49170192073293	8.49867721486421	9.11219544723693	10.1772535736316	8.73643442645856	9.47081974151073	9.1380823847281	8.65944369903586
C:9	7.32355248723492	7.40615191265439	6.25077628936873	6.25505256218392	8.35200917276074	7.50064614493235	7.0625210122075	6.76838346219441	7.60816114295592	7.58665080597054	7.12949336129556	6.30718823363405	6.7371769916643	6.87216920715311	9.83179607820079	10.1727782525272	11.03397001399	7.38529572734128	8.89922810834199	8.80006849824789	8.4366425940215	9.14710698176775	9.96264361594443	11.8089103445485	9.02296069437149	10.4298257273234	9.92149021164741	9.34494382981148
C:10	8.61761486668851	8.29309750626224	7.49325641575982	7.47115334436733	7.77436134859358	8.08261167083413	7.77656716939961	7.14808651081194	8.01645047414885	8.24694946085413	7.82547765410582	7.64586118178349	7.86677814847735	8.12909964867723	9.18909667917355	8.36966614437762	8.54456261671792	7.49839444892602	7.70964182853467	7.81726580253206	7.60108352163535	7.0808206276134	8.41211344136883	8.75758518620759	7.57139316242752	6.90633471884803	7.90875570581656	7.29950390644654
