GC_Content	Count	sample
0	34.0	pc6
1	34.5	pc6
2	29.5	pc6
3	22.0	pc6
4	19.5	pc6
5	18.0	pc6
6	20.0	pc6
7	31.5	pc6
8	58.0	pc6
9	90.0	pc6
10	112.0	pc6
11	139.0	pc6
12	203.5	pc6
13	316.0	pc6
14	442.0	pc6
15	613.5	pc6
16	846.0	pc6
17	1163.0	pc6
18	1759.5	pc6
19	2997.5	pc6
20	7904.5	pc6
21	13301.5	pc6
22	14359.5	pc6
23	16716.5	pc6
24	23061.5	pc6
25	53922.5	pc6
26	88737.0	pc6
27	96218.0	pc6
28	103177.5	pc6
29	116185.5	pc6
30	182886.5	pc6
31	308170.0	pc6
32	384176.5	pc6
33	480591.5	pc6
34	654857.0	pc6
35	745038.0	pc6
36	803975.5	pc6
37	813345.0	pc6
38	771999.5	pc6
39	895565.5	pc6
40	1019211.0	pc6
41	1051006.5	pc6
42	1089490.5	pc6
43	1201817.5	pc6
44	1375628.5	pc6
45	1591453.5	pc6
46	1958863.0	pc6
47	2827703.5	pc6
48	4031816.5	pc6
49	4689057.0	pc6
50	4293174.5	pc6
51	3801847.5	pc6
52	3737054.5	pc6
53	3186521.0	pc6
54	2573574.5	pc6
55	1600062.5	pc6
56	1028281.0	pc6
57	1604021.0	pc6
58	1851979.5	pc6
59	1515348.0	pc6
60	983037.0	pc6
61	692795.5	pc6
62	657730.5	pc6
63	600992.5	pc6
64	482126.5	pc6
65	408989.0	pc6
66	291328.5	pc6
67	179879.5	pc6
68	138993.0	pc6
69	104935.0	pc6
70	100377.5	pc6
71	91490.5	pc6
72	87339.5	pc6
73	87534.0	pc6
74	70743.5	pc6
75	49482.0	pc6
76	35679.5	pc6
77	26638.0	pc6
78	21299.0	pc6
79	19907.5	pc6
80	18605.0	pc6
81	18753.5	pc6
82	19310.5	pc6
83	17593.5	pc6
84	14625.0	pc6
85	15717.0	pc6
86	18749.5	pc6
87	19413.0	pc6
88	19656.0	pc6
89	19590.0	pc6
90	19186.5	pc6
91	13872.0	pc6
92	6226.0	pc6
93	2734.5	pc6
94	1618.0	pc6
95	1362.5	pc6
96	1289.5	pc6
97	893.5	pc6
98	351.0	pc6
99	192.0	pc6
100	190.0	pc6
