Base	N-Count	sample
1	0.01361158408754317	pt1
2	0.0	pt1
3	0.0	pt1
4	8.175125578104006E-6	pt1
5	8.502130601228165E-4	pt1
6	4.169314044833043E-4	pt1
7	3.3518014870226423E-4	pt1
8	0.0	pt1
9	0.0	pt1
10	4.0875627890520025E-5	pt1
11	8.175125578104006E-6	pt1
12	0.02150875539599164	pt1
13	2.861293952336402E-4	pt1
14	2.0437813945260014E-4	pt1
15	2.4525376734312013E-5	pt1
16	6.540100462483204E-5	pt1
17	1.962030138744961E-4	pt1
18	0.0	pt1
19	8.278086076697957E-6	pt1
20	0.0	pt1
21	2.598076072706639E-5	pt1
22	0.0	pt1
23	2.3175658513160993E-5	pt1
24	0.0	pt1
25	3.982230226799958E-5	pt1
26	5.379607280599106E-5	pt1
27	0.0	pt1
28	0.0	pt1
29	1.260138161548032E-4	pt1
30	2.2848431076779438E-4	pt1
31	2.9708561977853458E-5	pt1
32	0.0	pt1
33	5.314315170775518E-5	pt1
34	0.0	pt1
35	0.0	pt1
36	0.0	pt1
37	0.0	pt1
38	0.0	pt1
39	0.0	pt1
40	0.0	pt1
41	0.0	pt1
42	0.0020140851689481776	pt1
43	0.0	pt1
44	0.0	pt1
45	0.0	pt1
46	0.0015684060289527751	pt1
47	0.0	pt1
48	0.0	pt1
49	0.0	pt1
50	0.0	pt1
51	0.0	pt1
52	0.004334257975034674	pt1
53	0.0	pt1
54	0.0	pt1
55	0.0	pt1
56	0.0	pt1
57	0.0	pt1
58	0.0	pt1
59	0.0	pt1
60	0.0	pt1
61	0.0	pt1
62	0.0	pt1
63	0.0	pt1
64	0.0	pt1
65	0.0	pt1
66	0.0	pt1
67	0.046860356138706656	pt1
68	0.0	pt1
