GC_Content	Count	sample
0	19.0	pt1
1	19.0	pt1
2	16.0	pt1
3	13.5	pt1
4	14.0	pt1
5	15.5	pt1
6	16.5	pt1
7	22.0	pt1
8	36.5	pt1
9	52.5	pt1
10	70.0	pt1
11	95.5	pt1
12	139.0	pt1
13	228.0	pt1
14	333.5	pt1
15	486.5	pt1
16	707.5	pt1
17	986.5	pt1
18	1501.5	pt1
19	2472.0	pt1
20	5839.5	pt1
21	9664.5	pt1
22	10674.0	pt1
23	12334.0	pt1
24	15836.0	pt1
25	26511.5	pt1
26	41286.0	pt1
27	48079.5	pt1
28	56262.0	pt1
29	68051.0	pt1
30	128527.0	pt1
31	232573.5	pt1
32	283995.5	pt1
33	361075.5	pt1
34	502697.5	pt1
35	576120.5	pt1
36	611722.0	pt1
37	603172.5	pt1
38	576339.0	pt1
39	904686.0	pt1
40	1247103.0	pt1
41	1285480.0	pt1
42	1343307.0	pt1
43	1264977.0	pt1
44	1244650.5	pt1
45	1489841.5	pt1
46	1777398.0	pt1
47	2648874.5	pt1
48	3773390.5	pt1
49	4208569.0	pt1
50	3488313.0	pt1
51	2741636.0	pt1
52	2158826.0	pt1
53	1326715.5	pt1
54	1001529.0	pt1
55	828755.5	pt1
56	878221.5	pt1
57	1030318.0	pt1
58	975678.0	pt1
59	774191.0	pt1
60	619630.0	pt1
61	536756.0	pt1
62	506744.5	pt1
63	497276.5	pt1
64	433560.0	pt1
65	308242.0	pt1
66	173742.0	pt1
67	130683.0	pt1
68	111970.5	pt1
69	100004.5	pt1
70	97904.0	pt1
71	94286.5	pt1
72	92793.0	pt1
73	89042.0	pt1
74	77298.0	pt1
75	63954.0	pt1
76	53150.5	pt1
77	47005.5	pt1
78	45182.0	pt1
79	45162.0	pt1
80	42604.0	pt1
81	41145.0	pt1
82	39963.5	pt1
83	35260.0	pt1
84	29807.5	pt1
85	26281.0	pt1
86	23585.0	pt1
87	21420.5	pt1
88	20218.5	pt1
89	19276.5	pt1
90	17468.0	pt1
91	15945.0	pt1
92	14639.5	pt1
93	12418.5	pt1
94	10117.0	pt1
95	8703.0	pt1
96	7949.0	pt1
97	6929.0	pt1
98	4202.0	pt1
99	2282.0	pt1
100	2245.0	pt1
