Base	N-Count	sample
1	1.1740739426550979E-4	pc3
2	3.456995497817788E-4	pc3
3	0.0	pc3
4	0.0	pc3
5	1.3697529330976142E-4	pc3
6	1.3045266029501088E-5	pc3
7	3.913579808850326E-4	pc3
8	1.956789904425163E-5	pc3
9	0.0	pc3
10	1.1088476125075924E-4	pc3
11	6.522633014750544E-6	pc3
12	0.016273969371802605	pc3
13	7.501027966963124E-4	pc3
14	0.0	pc3
15	0.0	pc3
16	0.0	pc3
17	7.174896316225598E-5	pc3
18	0.0	pc3
19	3.334952341530068E-5	pc3
20	2.7090110375945715E-5	pc3
21	0.0	pc3
22	0.0	pc3
23	0.0	pc3
24	1.4149154729496459E-5	pc3
25	6.249117312179654E-5	pc3
26	0.0	pc3
27	1.6175160162392138E-5	pc3
28	0.0	pc3
29	1.336252153453861E-4	pc3
30	4.423285262430112E-4	pc3
31	1.2383123218267584E-4	pc3
32	4.6685313558990685E-4	pc3
33	5.532494275251549E-5	pc3
34	8.465953782049408E-4	pc3
35	4.7291907724029655E-4	pc3
36	4.5541488295837505E-4	pc3
37	0.003561900487624177	pc3
38	4.549694033076276E-4	pc3
39	0.0	pc3
40	0.0	pc3
41	0.0	pc3
42	0.0	pc3
43	0.0	pc3
44	0.0	pc3
45	0.0	pc3
46	0.002659362284924075	pc3
47	0.0031726894888797234	pc3
48	0.0	pc3
49	0.005079494082389393	pc3
50	0.0	pc3
51	0.0	pc3
52	0.0	pc3
53	0.0	pc3
54	0.0	pc3
55	0.0	pc3
56	0.0	pc3
57	0.0	pc3
58	0.0	pc3
59	0.0	pc3
60	0.0	pc3
61	0.0	pc3
62	0.0	pc3
63	0.0	pc3
64	0.0	pc3
65	0.0	pc3
66	0.0	pc3
67	0.13333333333333333	pc3
68	0.0	pc3
