Base	N-Count	sample
1	0.029704884166432174	pt3
2	0.0	pt3
3	0.0	pt3
4	0.0	pt3
5	7.302085586635244E-4	pt3
6	2.336667387723278E-4	pt3
7	2.9792509193471797E-4	pt3
8	0.0	pt3
9	0.0	pt3
10	1.1683336938616391E-5	pt3
11	2.9208342346540977E-5	pt3
12	0.0155388381283598	pt3
13	3.154500973426425E-4	pt3
14	1.4604171173270488E-4	pt3
15	0.0	pt3
16	0.0	pt3
17	9.930836397823932E-5	pt3
18	1.938280451560609E-4	pt3
19	0.0	pt3
20	0.0	pt3
21	0.0	pt3
22	2.120925110770616E-5	pt3
23	0.0	pt3
24	1.4807286132443474E-5	pt3
25	0.0	pt3
26	0.0	pt3
27	0.0	pt3
28	0.0	pt3
29	0.0	pt3
30	0.0	pt3
31	0.0	pt3
32	2.0570993171664526E-5	pt3
33	0.0	pt3
34	0.0	pt3
35	0.0	pt3
36	2.9264795183014714E-4	pt3
37	0.0	pt3
38	0.0	pt3
39	0.0	pt3
40	0.0	pt3
41	0.0	pt3
42	0.0012962266841225192	pt3
43	0.0	pt3
44	0.0	pt3
45	0.0	pt3
46	0.0	pt3
47	0.0	pt3
48	0.0	pt3
49	0.0	pt3
50	0.0	pt3
51	0.0	pt3
52	0.0	pt3
53	0.0	pt3
54	0.0	pt3
55	0.0	pt3
56	0.0	pt3
57	1.600524509236762	pt3
58	0.0	pt3
59	0.0	pt3
60	0.0	pt3
61	0.005719514985129261	pt3
62	0.0	pt3
63	0.0	pt3
64	0.0	pt3
65	0.0	pt3
66	0.0	pt3
67	0.0	pt3
68	0.0	pt3
