Base	N-Count	sample
1	0.02089586371070318	pt5
2	0.0	pt5
3	0.0	pt5
4	0.0	pt5
5	1.1491767393603951E-4	pt5
6	0.024132711526568297	pt5
7	0.0	pt5
8	0.0	pt5
9	0.0	pt5
10	4.788236414001646E-5	pt5
11	1.9152945656006584E-4	pt5
12	0.01216212049156418	pt5
13	6.22470733820214E-4	pt5
14	9.576472828003292E-5	pt5
15	0.0	pt5
16	0.0	pt5
17	0.0	pt5
18	0.0	pt5
19	0.0	pt5
20	0.0	pt5
21	0.0	pt5
22	0.0	pt5
23	0.0	pt5
24	0.0	pt5
25	0.0	pt5
26	0.0	pt5
27	0.0	pt5
28	0.0	pt5
29	0.0	pt5
30	0.0	pt5
31	0.0	pt5
32	0.0	pt5
33	0.008331079669474026	pt5
34	0.0	pt5
35	0.0	pt5
36	3.543284766710131E-4	pt5
37	0.0	pt5
38	0.0	pt5
39	0.0010457953796760126	pt5
40	0.0	pt5
41	0.0016683628355494752	pt5
42	0.0041883062489529235	pt5
43	0.0025303003466511475	pt5
44	0.00591961167347422	pt5
45	0.0	pt5
46	0.0	pt5
47	0.0	pt5
48	0.0	pt5
49	0.0	pt5
50	0.0	pt5
51	0.0	pt5
52	0.7293514685590381	pt5
53	0.0	pt5
54	0.011828720132481665	pt5
55	0.0	pt5
56	0.0	pt5
57	0.0	pt5
58	0.0	pt5
59	0.0	pt5
60	0.0	pt5
61	0.0	pt5
62	0.0	pt5
63	0.03455425017277125	pt5
64	0.0	pt5
65	0.0	pt5
66	0.0	pt5
67	0.0	pt5
68	0.0	pt5
