Base	N-Count	sample
1	1.0601304059408374	ct3
2	0.08646791757898632	ct3
3	0.016886546244751145	ct3
4	0.0016501510988356169	ct3
5	0.0	ct3
6	0.0	ct3
7	0.0	ct3
8	0.0	ct3
9	9.167506104642314E-5	ct3
10	0.0	ct3
11	0.0	ct3
12	5.500503662785389E-5	ct3
13	4.217052808135465E-4	ct3
14	0.0032269621488340947	ct3
15	0.025815697190672757	ct3
16	7.334004883713852E-5	ct3
17	0.0	ct3
18	0.0	ct3
19	0.0	ct3
20	6.302313137991036E-5	ct3
21	9.316712318557028E-5	ct3
22	4.8123127267271605E-4	ct3
23	0.009952905194479769	ct3
24	0.030391973680787304	ct3
25	0.00383341201915899	ct3
26	0.0019108506288063461	ct3
27	8.267640043487786E-4	ct3
28	8.049455856784082E-4	ct3
