Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	37.04669927609705	40.0	38.0	40.0	33.0	40.0	ct3
2	36.981469719910685	40.0	38.0	40.0	33.0	40.0	ct3
3	36.97258805664639	40.0	38.0	40.0	32.0	40.0	ct3
4	36.88742815883841	40.0	38.0	40.0	32.0	40.0	ct3
5	36.93715949590451	40.0	38.0	40.0	33.0	40.0	ct3
6	36.87329076432432	40.0	38.0	40.0	32.0	40.0	ct3
7	37.0003245297161	40.0	38.0	40.0	33.0	40.0	ct3
8	36.92041907970707	40.0	38.0	40.0	32.0	40.0	ct3
9	36.891922987081514	40.0	38.0	40.0	32.0	40.0	ct3
10	36.93908907258941	40.0	38.0	40.0	32.0	40.0	ct3
11	37.14609319393346	40.0	38.0	40.0	33.0	40.0	ct3
12	37.06718003478519	40.0	38.0	40.0	33.0	40.0	ct3
13	37.016750317104034	40.0	38.0	40.0	33.0	40.0	ct3
14	36.972570271684546	40.0	38.0	40.0	33.0	40.0	ct3
15	36.91236652569487	40.0	38.0	40.0	32.0	40.0	ct3
16	36.94638072359492	40.0	38.0	40.0	33.0	40.0	ct3
17	36.79771567749887	40.0	38.0	40.0	32.0	40.0	ct3
18	36.84008307951342	40.0	38.0	40.0	32.0	40.0	ct3
19	36.72530536938037	39.0	38.0	40.0	31.0	40.0	ct3
20	36.75156029517514	39.0	38.0	40.0	31.0	40.0	ct3
21	36.620801190675834	39.0	38.0	40.0	31.0	40.0	ct3
22	36.84150364957305	40.0	38.0	40.0	32.0	40.0	ct3
23	36.35871499797429	39.0	38.0	40.0	31.0	40.0	ct3
24	36.22648997537895	39.0	37.0	40.0	31.0	40.0	ct3
25	36.14776592782694	39.0	37.0	40.0	30.0	40.0	ct3
26	36.14486977552965	39.0	37.0	40.0	31.0	40.0	ct3
27	36.335839806206515	39.0	37.0	40.0	31.0	40.0	ct3
28	36.335750853242324	39.0	37.0	40.0	31.0	40.0	ct3
