Sample	miRNAs	isomiRs
cc1	982	32262
cc2	861	25924
cc3	904	24009
cc4	962	30923
cc5	894	29098
cc6	839	24629
cc7	937	39456
ct1	771	16061
ct2	922	26561
ct3	845	19982
ct4	886	24649
ct5	915	27064
ct6	896	27537
ct7	869	32757
pc1	1105	37940
pc2	912	25150
pc3	1051	21558
pc4	1063	23187
pc5	1007	20738
pc6	891	15903
pc7	988	21732
pt1	831	13971
pt2	924	16344
pt3	992	21620
pt4	1011	20521
pt5	827	13696
pt6	956	17727
pt7	1046	23898
