Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	35.496220496671874	39.0	36.0	40.0	28.0	40.0	cc7
2	35.2353942729479	39.0	36.0	40.0	25.0	40.0	cc7
3	35.39131071404567	39.0	36.0	40.0	25.0	40.0	cc7
4	35.183104024245345	39.0	36.0	40.0	25.0	40.0	cc7
5	35.30432553465799	39.0	36.0	40.0	25.0	40.0	cc7
6	35.15745777144784	39.0	36.0	40.0	23.0	40.0	cc7
7	35.30747740746769	39.0	36.0	40.0	25.0	40.0	cc7
8	35.23583087582203	39.0	36.0	40.0	25.0	40.0	cc7
9	35.20397475257782	39.0	36.0	40.0	25.0	40.0	cc7
10	35.17993170997793	39.0	36.0	40.0	25.0	40.0	cc7
11	35.33576627414995	39.0	36.0	40.0	26.0	40.0	cc7
12	35.26549176425889	39.0	36.0	40.0	26.0	40.0	cc7
13	35.118469356977286	39.0	36.0	40.0	25.0	40.0	cc7
14	35.193762244738686	39.0	36.0	40.0	26.0	40.0	cc7
15	34.68629161405861	39.0	35.0	40.0	22.0	40.0	cc7
16	35.284922591865744	39.0	36.0	40.0	26.0	40.0	cc7
17	35.1516052932266	39.0	36.0	40.0	26.0	40.0	cc7
18	35.09504887076993	39.0	36.0	40.0	26.0	40.0	cc7
19	35.00523596214842	39.0	35.0	40.0	25.0	40.0	cc7
20	34.8039996982124	39.0	35.0	40.0	25.0	40.0	cc7
21	34.85506736577083	39.0	35.0	40.0	25.0	40.0	cc7
22	35.04487324117515	39.0	36.0	40.0	25.0	40.0	cc7
23	34.75115982574668	39.0	35.0	40.0	24.0	40.0	cc7
24	34.67863560073863	39.0	35.0	40.0	25.0	40.0	cc7
25	34.759527677277944	39.0	35.0	40.0	25.0	40.0	cc7
26	34.48269028705203	38.0	35.0	40.0	25.0	40.0	cc7
27	35.09041088142974	38.0	35.0	40.0	27.0	40.0	cc7
28	34.66667048172776	38.0	35.0	40.0	25.0	40.0	cc7
