Base	N-Count	sample
1	0.003831705049486908	pc2
2	1.0774566044251413E-4	pc2
3	6.734103777657133E-6	pc2
4	0.0047744795783589075	pc2
5	0.0	pc2
6	6.734103777657133E-6	pc2
7	0.0	pc2
8	0.0	pc2
9	0.0	pc2
10	3.4479082728868953	pc2
11	0.0	pc2
12	0.018357166897893344	pc2
13	3.6364160399348516E-4	pc2
14	0.0	pc2
15	1.3468207555314267E-5	pc2
16	1.0774566044251413E-4	pc2
17	0.0	pc2
18	0.0	pc2
19	0.0	pc2
20	6.9287465031482495E-6	pc2
21	2.068471274880847E-4	pc2
22	0.0	pc2
23	3.3178984696525104E-5	pc2
24	0.0	pc2
25	1.4545596298902112E-5	pc2
26	0.0014764902880898322	pc2
27	1.499438310408921E-4	pc2
28	1.5263419140205497E-5	pc2
29	1.704260061409138E-4	pc2
30	1.105824043489848E-4	pc2
31	1.8148272375211242E-4	pc2
32	0.0	pc2
33	2.4328668635504726E-4	pc2
34	0.0010907296163085894	pc2
35	0.001710856180867153	pc2
36	0.7615299322465849	pc2
37	0.0014620168034464608	pc2
38	9.155105802506058E-4	pc2
39	3.766081166581302E-4	pc2
40	0.0	pc2
41	0.0	pc2
42	8.535481998668465E-4	pc2
43	0.0	pc2
44	0.0	pc2
45	0.0016154044972861205	pc2
46	0.002090781743293818	pc2
47	0.853917280037719	pc2
48	0.83524996973732	pc2
49	0.00422761477974127	pc2
50	0.0	pc2
51	0.0	pc2
52	0.0	pc2
53	0.0	pc2
54	0.0	pc2
55	0.0	pc2
56	0.0	pc2
57	0.0	pc2
58	0.0	pc2
59	0.0	pc2
60	0.0	pc2
61	0.0	pc2
62	0.0	pc2
63	0.0	pc2
64	0.0	pc2
65	0.0	pc2
66	0.0	pc2
67	0.0	pc2
68	0.0	pc2
