Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	36.65319655081859	39.0	38.0	40.0	31.0	40.0	cc4
2	36.55964620340709	39.0	38.0	40.0	31.0	40.0	cc4
3	36.58316983487881	40.0	38.0	40.0	31.0	40.0	cc4
4	36.44961774780267	39.0	38.0	40.0	30.0	40.0	cc4
5	36.553692236734705	39.0	38.0	40.0	31.0	40.0	cc4
6	36.41952285312585	39.0	38.0	40.0	30.0	40.0	cc4
7	36.56985914878731	40.0	38.0	40.0	31.0	40.0	cc4
8	36.466642997115095	39.0	38.0	40.0	30.0	40.0	cc4
9	36.42359814789709	39.0	38.0	40.0	30.0	40.0	cc4
10	36.499513770843976	40.0	38.0	40.0	30.0	40.0	cc4
11	36.67929957878311	40.0	38.0	40.0	31.0	40.0	cc4
12	36.60660043932457	40.0	38.0	40.0	31.0	40.0	cc4
13	36.5810059196	40.0	38.0	40.0	31.0	40.0	cc4
14	36.53596614432485	39.0	38.0	40.0	31.0	40.0	cc4
15	36.49791204691691	39.0	38.0	40.0	31.0	40.0	cc4
16	36.54121867537099	40.0	38.0	40.0	31.0	40.0	cc4
17	36.45573003817782	39.0	38.0	40.0	31.0	40.0	cc4
18	36.40519731491264	39.0	38.0	40.0	31.0	40.0	cc4
19	36.19293557875986	39.0	38.0	40.0	30.0	40.0	cc4
20	36.271487098378515	39.0	38.0	40.0	31.0	40.0	cc4
21	36.118313459988734	39.0	38.0	40.0	30.0	40.0	cc4
22	36.34882056735738	39.0	38.0	40.0	31.0	40.0	cc4
23	35.7989874783701	39.0	37.0	40.0	29.0	40.0	cc4
24	35.938093376085085	39.0	37.0	40.0	30.0	40.0	cc4
25	35.86064350432506	39.0	37.0	40.0	29.0	40.0	cc4
26	35.72190814692714	39.0	36.0	40.0	30.0	40.0	cc4
27	36.080631205965965	39.0	37.0	40.0	30.0	40.0	cc4
28	35.862614784963995	39.0	36.0	40.0	30.0	40.0	cc4
