Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	38.738254131919355	40.0	39.0	40.0	36.0	40.0	pc7
2	38.57016842289504	40.0	38.0	40.0	35.0	40.0	pc7
3	38.602939760130276	40.0	39.0	40.0	36.0	40.0	pc7
4	38.51674355279704	40.0	38.0	40.0	35.0	40.0	pc7
5	38.580076568974135	40.0	39.0	40.0	36.0	40.0	pc7
6	38.497177902459775	40.0	38.0	40.0	35.0	40.0	pc7
7	38.45175675337408	40.0	38.0	40.0	35.0	40.0	pc7
8	38.488720180172336	40.0	38.0	40.0	35.0	40.0	pc7
9	38.44304036872743	40.0	38.0	40.0	35.0	40.0	pc7
10	38.428938839450105	40.0	38.0	40.0	35.0	40.0	pc7
11	38.335662566640806	40.0	38.0	40.0	35.0	40.0	pc7
12	38.38327384012829	40.0	38.0	40.0	35.0	40.0	pc7
13	38.37742214596099	40.0	38.0	40.0	35.0	40.0	pc7
14	38.31421034340258	40.0	38.0	40.0	35.0	40.0	pc7
15	38.174841395472754	40.0	38.0	40.0	35.0	40.0	pc7
16	38.283439936420415	40.0	38.0	40.0	35.0	40.0	pc7
17	38.26826113242627	40.0	38.0	40.0	35.0	40.0	pc7
18	38.042916631511794	39.0	38.0	40.0	34.0	40.0	pc7
19	37.918036089173576	39.0	38.0	40.0	35.0	40.0	pc7
20	38.07252413335811	39.0	38.0	40.0	35.0	40.0	pc7
21	38.097619658417834	39.0	38.0	40.0	35.0	40.0	pc7
22	38.07246780764772	39.0	38.0	40.0	35.0	40.0	pc7
23	37.81819095934808	39.0	38.0	40.0	33.0	40.0	pc7
24	37.47353741329119	39.0	37.0	40.0	33.0	40.0	pc7
25	37.78564716622207	39.0	38.0	40.0	33.0	40.0	pc7
26	37.83379210241398	39.0	38.0	40.0	34.0	40.0	pc7
27	37.46150366508355	39.0	37.0	40.0	33.0	40.0	pc7
28	37.49834301889509	39.0	37.0	40.0	33.0	40.0	pc7
29	37.40690968551643	39.0	37.0	40.0	33.0	40.0	pc7
30	36.694960741565495	38.0	35.0	40.0	31.0	40.0	pc7
31	37.09981375048079	39.0	36.0	40.0	33.0	40.0	pc7
32	37.167033808409414	39.0	36.0	40.0	33.0	40.0	pc7
33	37.339410086884826	39.0	37.0	40.0	33.0	40.0	pc7
34	37.06561735708459	39.0	36.0	40.0	33.0	40.0	pc7
35	36.8465153128837	38.0	36.0	40.0	32.0	40.0	pc7
36	36.56306324823803	38.0	36.0	40.0	32.0	40.0	pc7
37	36.39667903324569	38.0	35.0	40.0	31.0	40.0	pc7
38	36.553594307595425	38.0	36.0	40.0	32.0	40.0	pc7
39	36.12653073047798	38.0	35.0	40.0	30.0	40.0	pc7
40	35.82469743209596	38.0	35.0	40.0	30.0	40.0	pc7
41	35.5253981104608	38.0	35.0	40.0	29.0	40.0	pc7
42	35.59630420343486	38.0	35.0	40.0	29.0	40.0	pc7
43	35.84054494195107	38.0	35.0	40.0	30.0	40.0	pc7
44	35.658380205553506	38.0	35.0	40.0	30.0	40.0	pc7
45	35.543008023579496	38.0	34.0	40.0	29.0	40.0	pc7
46	36.119347017306204	38.0	35.0	40.0	31.0	40.0	pc7
47	35.93010631078941	38.0	35.0	39.0	31.0	40.0	pc7
48	35.55372393247269	38.0	35.0	39.0	30.0	40.0	pc7
49	35.58447252245395	38.0	35.0	39.0	30.0	40.0	pc7
50	35.75674456374628	38.0	35.0	39.0	30.0	40.0	pc7
51	35.7166699085781	38.0	35.0	39.0	30.0	40.0	pc7
52	35.67863670349755	38.0	35.0	39.0	30.0	40.0	pc7
53	35.33118843517927	38.0	34.0	39.0	30.0	40.0	pc7
54	35.391659833100185	38.0	34.0	39.0	30.0	40.0	pc7
55	35.319591878800374	38.0	35.0	39.0	30.0	40.0	pc7
56	34.847678338408	38.0	34.0	39.0	29.0	40.0	pc7
57	34.987608982086286	38.0	34.0	39.0	29.0	40.0	pc7
58	34.76694707021652	38.0	33.0	39.0	28.0	40.0	pc7
59	34.73242020687692	37.0	33.0	39.0	28.0	40.0	pc7
60	34.989120959587154	38.0	34.0	39.0	29.0	40.0	pc7
61	35.13356017051899	38.0	35.0	39.0	30.0	40.0	pc7
62	35.419486490675204	38.0	35.0	39.0	30.0	40.0	pc7
63	35.337887716117336	38.0	35.0	39.0	30.0	40.0	pc7
64	34.964160603610885	37.0	34.0	39.0	29.0	40.0	pc7
65	34.91015228426396	37.0	34.0	39.0	29.0	40.0	pc7
66	34.76196493444954	37.0	34.0	39.0	29.0	40.0	pc7
67	34.54241749341972	36.0	34.0	39.0	29.0	40.0	pc7
68	33.42467575656801	36.0	33.0	38.0	27.0	39.0	pc7
