Base	N-Count	sample
1	9.627899032607962E-5	pc4
2	4.172089580796783E-4	pc4
3	0.0	pc4
4	0.0	pc4
5	1.4120918581158343E-4	pc4
6	5.1348794840575794E-5	pc4
7	3.3376716646374264E-4	pc4
8	1.9255798065215924E-5	pc4
9	6.418599355071974E-6	pc4
10	9.627899032607962E-5	pc4
11	3.209299677535987E-5	pc4
12	0.016316079560592958	pc4
13	6.418599355071975E-4	pc4
14	0.0	pc4
15	0.0	pc4
16	1.2837198710143948E-5	pc4
17	1.540463845217274E-4	pc4
18	1.9472553435932054E-5	pc4
19	6.56810739853949E-5	pc4
20	2.001400179565624E-5	pc4
21	0.0	pc4
22	0.0	pc4
23	0.0	pc4
24	1.0286988108756096E-4	pc4
25	3.2867383394740563E-4	pc4
26	3.96261902964574E-5	pc4
27	1.6208673707039163E-4	pc4
28	4.555419054034103E-4	pc4
29	0.001441539530299783	pc4
30	0.0023281681363862654	pc4
31	0.0010988905018408659	pc4
32	0.0027326442929345	pc4
33	0.002247602526600007	pc4
34	0.006045017408016346	pc4
35	0.01166388976368062	pc4
36	0.008942391834318771	pc4
37	0.02298151934215087	pc4
38	0.007688748086711992	pc4
39	1.7771490619318677E-4	pc4
40	7.997776618100168E-4	pc4
41	0.0	pc4
42	0.0	pc4
43	0.0	pc4
44	0.0015249109452008002	pc4
45	0.0	pc4
46	0.005247599223355315	pc4
47	0.025002246295565616	pc4
48	0.0	pc4
49	0.02046415740726705	pc4
50	0.029154518950437316	pc4
51	0.03462926705824376	pc4
52	0.008653513326410523	pc4
53	0.026232543785201762	pc4
54	0.03780966941197745	pc4
55	0.010424629925637639	pc4
56	0.007344840249724569	pc4
57	0.027254852337103588	pc4
58	0.0	pc4
59	0.0	pc4
60	0.0	pc4
61	0.0	pc4
62	0.0	pc4
63	0.0	pc4
64	0.0	pc4
65	0.0	pc4
66	0.0	pc4
67	0.0	pc4
68	0.0	pc4
