Length	Count	sample
22	2770230.0	ct7
23	1160766.0	ct7
24	337823.0	ct7
25	81439.0	ct7
26	79381.0	ct7
27	63082.0	ct7
28	65930.0	ct7
16	185653.0	pc6
18	345649.0	pc6
20	1312618.0	pc6
22	3454057.0	pc6
24	424637.0	pc6
26	159592.0	pc6
28	173702.0	pc6
30	1294140.0	pc6
32	6180464.0	pc6
34	1714293.0	pc6
36	210508.0	pc6
38	168960.0	pc6
40	83297.0	pc6
42	52195.0	pc6
44	51117.0	pc6
46	25174.0	pc6
48	22872.0	pc6
50	6777.0	pc6
52	5795.0	pc6
54	3753.0	pc6
56	1784.0	pc6
58	4181.0	pc6
60	7014.0	pc6
62	6426.0	pc6
64	3406.0	pc6
66	2239.0	pc6
68	1854.0	pc6
17	211789.0	ct6
18	184536.0	ct6
19	224035.0	ct6
20	716288.0	ct6
21	1102355.0	ct6
22	2946297.0	ct6
23	1437687.0	ct6
24	355374.0	ct6
25	85806.0	ct6
26	89033.0	ct6
27	79674.0	ct6
28	70535.0	ct6
16	63133.0	pt1
18	226201.0	pt1
20	1093313.0	pt1
22	3036498.0	pt1
24	377596.0	pt1
26	197088.0	pt1
28	235730.0	pt1
30	964732.0	pt1
32	4777583.0	pt1
34	727328.0	pt1
36	200035.0	pt1
38	107085.0	pt1
40	76955.0	pt1
42	53608.0	pt1
44	31584.0	pt1
46	19609.0	pt1
48	15422.0	pt1
50	5656.0	pt1
52	4467.0	pt1
54	3218.0	pt1
56	1723.0	pt1
58	3475.0	pt1
60	3533.0	pt1
62	2466.0	pt1
64	1384.0	pt1
66	1359.0	pt1
68	1447.0	pt1
17	213405.0	cc2
18	136061.0	cc2
19	211084.0	cc2
20	896146.0	cc2
21	1146705.0	cc2
22	2845719.0	cc2
23	1523841.0	cc2
24	285885.0	cc2
25	67159.0	cc2
26	65767.0	cc2
27	77131.0	cc2
28	62003.0	cc2
17	296550.0	cc4
18	206261.0	cc4
19	234627.0	cc4
20	694768.0	cc4
21	1219479.0	cc4
22	3414428.0	cc4
23	1605075.0	cc4
24	445606.0	cc4
25	88655.0	cc4
26	87333.0	cc4
27	69941.0	cc4
28	75685.0	cc4
17	243888.0	ct2
18	196895.0	ct2
19	215265.0	ct2
20	610971.0	ct2
21	994242.0	ct2
22	2554879.0	ct2
23	1109895.0	ct2
24	396799.0	ct2
25	78906.0	ct2
26	73761.0	ct2
27	68499.0	ct2
28	77314.0	ct2
17	166197.0	cc3
18	141444.0	cc3
19	161429.0	cc3
20	441178.0	cc3
21	870823.0	cc3
22	2350810.0	cc3
23	1052098.0	cc3
24	389664.0	cc3
25	65661.0	cc3
26	60020.0	cc3
27	56098.0	cc3
28	55924.0	cc3
16	159558.0	pc3
18	406138.0	pc3
20	2053569.0	pc3
22	5644407.0	pc3
24	781487.0	pc3
26	202769.0	pc3
28	205320.0	pc3
30	737181.0	pc3
32	3841481.0	pc3
34	860162.0	pc3
36	219365.0	pc3
38	100088.0	pc3
40	45812.0	pc3
42	22639.0	pc3
44	13653.0	pc3
46	9535.0	pc3
48	13671.0	pc3
50	3134.0	pc3
52	2095.0	pc3
54	1356.0	pc3
56	562.0	pc3
58	1669.0	pc3
60	1970.0	pc3
62	1722.0	pc3
64	900.0	pc3
66	552.0	pc3
68	437.0	pc3
16	173423.0	pc4
18	416794.0	pc4
20	2372824.0	pc4
22	6784071.0	pc4
24	785444.0	pc4
26	217754.0	pc4
28	233525.0	pc4
30	570483.0	pc4
32	2189182.0	pc4
34	896877.0	pc4
36	237021.0	pc4
38	202186.0	pc4
40	112914.0	pc4
42	59337.0	pc4
44	42043.0	pc4
46	75191.0	pc4
48	118044.0	pc4
50	23274.0	pc4
52	8505.0	pc4
54	6371.0	pc4
56	10486.0	pc4
58	20431.0	pc4
60	12325.0	pc4
62	5826.0	pc4
64	3331.0	pc4
66	1223.0	pc4
68	838.0	pc4
16	84648.0	pc2
18	332513.0	pc2
20	2177817.0	pc2
22	4987307.0	pc2
24	494683.0	pc2
26	221206.0	pc2
28	221491.0	pc2
30	823199.0	pc2
32	3673287.0	pc2
34	1205032.0	pc2
36	300917.0	pc2
38	127502.0	pc2
40	83026.0	pc2
42	42404.0	pc2
44	26925.0	pc2
46	14785.0	pc2
48	15028.0	pc2
50	4223.0	pc2
52	2821.0	pc2
54	1945.0	pc2
56	965.0	pc2
58	1852.0	pc2
60	2372.0	pc2
62	2506.0	pc2
64	470.0	pc2
66	451.0	pc2
68	411.0	pc2
16	90273.0	pt4
18	273309.0	pt4
20	1901003.0	pt4
22	5554210.0	pt4
24	752714.0	pt4
26	184714.0	pt4
28	219164.0	pt4
30	674973.0	pt4
32	3069780.0	pt4
34	724384.0	pt4
36	240299.0	pt4
38	92181.0	pt4
40	51153.0	pt4
42	29701.0	pt4
44	22279.0	pt4
46	13725.0	pt4
48	17120.0	pt4
50	4642.0	pt4
52	3424.0	pt4
54	2520.0	pt4
56	1106.0	pt4
58	4289.0	pt4
60	6791.0	pt4
62	5422.0	pt4
64	2974.0	pt4
66	1937.0	pt4
68	1789.0	pt4
16	147023.0	pt6
18	359971.0	pt6
20	1567474.0	pt6
22	4525389.0	pt6
24	604641.0	pt6
26	255280.0	pt6
28	266363.0	pt6
30	1154757.0	pt6
32	6184389.0	pt6
34	1546766.0	pt6
36	357150.0	pt6
38	135012.0	pt6
40	77107.0	pt6
42	38917.0	pt6
44	25913.0	pt6
46	14833.0	pt6
48	17495.0	pt6
50	5035.0	pt6
52	3812.0	pt6
54	2953.0	pt6
56	1408.0	pt6
58	5035.0	pt6
60	6092.0	pt6
62	4810.0	pt6
64	2793.0	pt6
66	2366.0	pt6
68	2474.0	pt6
17	208406.0	cc5
18	153470.0	cc5
19	215874.0	cc5
20	743176.0	cc5
21	1138895.0	cc5
22	3159135.0	cc5
23	1495370.0	cc5
24	325486.0	cc5
25	62397.0	cc5
26	60981.0	cc5
27	57663.0	cc5
28	51690.0	cc5
16	116482.0	pc1
18	392104.0	pc1
20	2732106.0	pc1
22	7599523.0	pc1
24	1086421.0	pc1
26	299378.0	pc1
28	309473.0	pc1
30	616083.0	pc1
32	1216067.0	pc1
