GC_Content	Count	sample
90	9672.5	ct1
91	8975.5	ct1
92	8354.0	ct1
93	7821.5	ct1
94	7052.5	ct1
95	6484.5	ct1
96	6336.0	ct1
97	5183.0	ct1
98	2728.0	ct1
99	1426.0	ct1
100	1426.0	ct1
0	1.0	cc6
1	1.0	cc6
2	2.5	cc6
3	6.0	cc6
4	8.0	cc6
5	8.0	cc6
6	9.0	cc6
7	12.0	cc6
8	19.0	cc6
9	27.0	cc6
10	31.5	cc6
11	39.5	cc6
12	53.5	cc6
13	85.0	cc6
14	128.5	cc6
15	194.5	cc6
16	292.5	cc6
17	442.0	cc6
18	707.5	cc6
19	1028.5	cc6
20	2587.5	cc6
21	4690.5	cc6
22	5437.0	cc6
23	6646.0	cc6
24	9144.0	cc6
25	21247.0	cc6
26	36244.5	cc6
27	40438.5	cc6
28	46603.0	cc6
29	55192.5	cc6
30	104687.5	cc6
31	199058.0	cc6
32	252483.0	cc6
33	317154.0	cc6
34	450251.0	cc6
35	524383.0	cc6
36	560902.0	cc6
37	566111.0	cc6
38	545601.0	cc6
39	644621.0	cc6
40	735701.5	cc6
41	754713.0	cc6
42	766927.5	cc6
43	880398.5	cc6
44	1014406.5	cc6
45	1109701.5	cc6
46	1391315.5	cc6
47	1599939.5	cc6
48	1542114.0	cc6
49	1479041.0	cc6
50	1210369.5	cc6
51	941698.0	cc6
52	720092.5	cc6
53	481188.0	cc6
54	434457.5	cc6
55	378327.0	cc6
56	342614.0	cc6
57	350496.5	cc6
58	368406.0	cc6
59	350409.5	cc6
60	331491.0	cc6
61	300974.5	cc6
62	293322.5	cc6
63	300174.5	cc6
64	262235.5	cc6
65	238311.5	cc6
66	210066.0	cc6
67	176796.0	cc6
68	139976.5	cc6
69	103520.5	cc6
70	93246.5	cc6
71	76150.0	cc6
72	61414.0	cc6
73	58689.0	cc6
74	45952.0	cc6
75	32127.5	cc6
76	26012.5	cc6
77	22158.5	cc6
78	21355.5	cc6
79	22235.5	cc6
80	22208.0	cc6
81	21141.0	cc6
82	21246.0	cc6
83	19855.5	cc6
84	18279.0	cc6
85	18737.5	cc6
86	19769.0	cc6
87	19978.0	cc6
88	19730.5	cc6
89	19440.5	cc6
90	19147.5	cc6
91	13403.5	cc6
92	5358.0	cc6
93	2214.5	cc6
94	1470.0	cc6
95	1337.0	cc6
96	1330.0	cc6
97	907.5	cc6
98	332.0	cc6
99	179.0	cc6
100	179.0	cc6
0	16.0	ct3
1	16.0	ct3
2	16.5	ct3
3	15.5	ct3
4	14.0	ct3
5	14.0	ct3
6	14.5	ct3
7	20.5	ct3
8	44.5	ct3
9	68.5	ct3
10	83.0	ct3
11	108.5	ct3
12	145.0	ct3
13	210.5	ct3
14	302.5	ct3
15	466.5	ct3
16	669.5	ct3
17	899.0	ct3
18	1427.5	ct3
19	2090.5	ct3
20	4668.0	ct3
21	8103.5	ct3
22	9391.0	ct3
23	13210.5	ct3
24	18695.5	ct3
25	27817.0	ct3
26	40376.5	ct3
27	46124.5	ct3
28	51578.0	ct3
29	58587.0	ct3
30	116313.5	ct3
31	211649.0	ct3
32	254747.0	ct3
33	318742.0	ct3
34	443340.0	ct3
35	508470.0	ct3
36	538352.0	ct3
37	534603.0	ct3
38	515234.5	ct3
39	607006.0	ct3
40	701385.5	ct3
41	728930.0	ct3
42	744509.0	ct3
43	868972.5	ct3
44	1000045.5	ct3
45	1095614.5	ct3
46	1307278.5	ct3
47	1434980.5	ct3
48	1294146.5	ct3
49	1152133.0	ct3
50	966817.5	ct3
51	781502.0	ct3
52	671174.0	ct3
53	543935.5	ct3
54	503092.0	ct3
55	450179.0	ct3
56	406369.5	ct3
57	395676.0	ct3
58	399798.0	ct3
59	377566.0	ct3
60	355637.5	ct3
61	331818.0	ct3
62	322482.5	ct3
63	315125.0	ct3
64	274372.0	ct3
65	250842.5	ct3
66	225160.5	ct3
67	199152.5	ct3
68	165661.5	ct3
69	130046.5	ct3
70	121386.5	ct3
71	105838.5	ct3
72	91254.0	ct3
73	93259.5	ct3
74	94136.5	ct3
75	95716.5	ct3
76	101629.5	ct3
77	108691.0	ct3
78	118442.5	ct3
79	124599.5	ct3
80	121607.5	ct3
81	117670.0	ct3
82	114169.0	ct3
83	98593.0	ct3
84	81559.5	ct3
85	71201.0	ct3
86	61290.5	ct3
87	54041.5	ct3
88	51287.5	ct3
89	50992.0	ct3
90	49298.0	ct3
91	46524.5	ct3
92	43924.5	ct3
93	39470.0	ct3
94	33123.0	ct3
95	29869.5	ct3
96	29405.0	ct3
97	24645.5	ct3
98	13638.5	ct3
99	7391.0	ct3
100	7391.0	ct3
0	106.0	pc7
1	107.0	pc7
2	93.0	pc7
3	69.0	pc7
4	59.0	pc7
5	60.5	pc7
6	63.5	pc7
7	76.5	pc7
8	105.5	pc7
9	140.5	pc7
10	168.5	pc7
11	221.5	pc7
12	336.5	pc7
13	520.0	pc7
14	722.5	pc7
15	994.0	pc7
16	1382.5	pc7
17	1985.5	pc7
