GC_Content	Count	sample
0	37.0	pt6
1	36.5	pt6
2	30.5	pt6
3	31.5	pt6
4	38.0	pt6
5	38.5	pt6
6	41.5	pt6
7	55.0	pt6
8	85.5	pt6
9	127.5	pt6
10	165.5	pt6
11	204.0	pt6
12	256.5	pt6
13	366.0	pt6
14	503.0	pt6
15	698.0	pt6
16	973.5	pt6
17	1334.5	pt6
18	2033.0	pt6
19	3938.0	pt6
20	10641.0	pt6
21	17631.5	pt6
22	18740.5	pt6
23	18259.5	pt6
24	20355.0	pt6
25	35708.0	pt6
26	56803.0	pt6
27	65353.0	pt6
28	79001.5	pt6
29	98250.5	pt6
30	215064.5	pt6
31	408833.5	pt6
32	499611.5	pt6
33	641787.0	pt6
34	900628.0	pt6
35	1037380.0	pt6
36	1120745.5	pt6
37	1110260.0	pt6
38	1037488.0	pt6
39	1305083.0	pt6
40	1587831.0	pt6
41	1633304.5	pt6
42	1716707.5	pt6
43	1770534.0	pt6
44	1936708.5	pt6
45	2270929.0	pt6
46	2632398.5	pt6
47	3851219.0	pt6
48	5233021.5	pt6
49	5721302.5	pt6
50	4727422.0	pt6
51	3536700.0	pt6
52	2836297.5	pt6
53	1890612.5	pt6
54	1456090.0	pt6
55	1149911.5	pt6
56	1162789.5	pt6
57	1490948.0	pt6
58	1541724.0	pt6
59	1236726.5	pt6
60	953980.0	pt6
61	838203.5	pt6
62	797655.5	pt6
63	755001.5	pt6
64	631109.5	pt6
65	489706.0	pt6
66	309523.5	pt6
67	198263.5	pt6
68	162908.5	pt6
69	130250.5	pt6
70	116597.5	pt6
71	102834.5	pt6
72	96012.5	pt6
73	95192.0	pt6
74	81254.0	pt6
75	60408.5	pt6
76	41049.0	pt6
77	29791.5	pt6
78	24936.0	pt6
79	22867.5	pt6
80	20428.5	pt6
81	19445.0	pt6
82	19367.5	pt6
83	17382.0	pt6
84	14654.5	pt6
85	12788.5	pt6
86	11135.0	pt6
87	9898.5	pt6
88	9329.5	pt6
89	8911.5	pt6
90	8453.0	pt6
91	6732.5	pt6
92	4596.5	pt6
93	3156.5	pt6
94	2120.5	pt6
95	1760.0	pt6
96	1644.0	pt6
97	1234.0	pt6
98	569.0	pt6
99	292.0	pt6
100	289.0	pt6
