Base	N-Count	sample
1	0.020288464659319543	pt6
2	5.77525324774254E-6	pt6
3	0.0	pt6
4	0.0	pt6
5	1.0395455845936572E-4	pt6
6	0.02205569215312876	pt6
7	0.0	pt6
8	0.0	pt6
9	0.0	pt6
10	2.88762662387127E-5	pt6
11	2.4833588965292926E-4	pt6
12	0.012168458592993531	pt6
13	5.486490585355413E-4	pt6
14	5.77525324774254E-5	pt6
15	0.0	pt6
16	0.0	pt6
17	0.0	pt6
18	0.0	pt6
19	0.0	pt6
20	0.0	pt6
21	0.0	pt6
22	0.0	pt6
23	0.0	pt6
24	0.0	pt6
25	0.0	pt6
26	0.0	pt6
27	0.0	pt6
28	0.0	pt6
29	0.0	pt6
30	0.0	pt6
31	0.0	pt6
32	0.0	pt6
33	0.009033282975376518	pt6
34	0.0	pt6
35	0.0	pt6
36	0.0	pt6
37	0.0	pt6
38	0.0	pt6
39	7.615334237019663E-4	pt6
40	9.476741706666414E-4	pt6
41	0.0017814515267039583	pt6
42	0.002239875761557759	pt6
43	0.0035972193494428805	pt6
44	0.0010524210947284226	pt6
45	0.0	pt6
46	0.0	pt6
47	0.0	pt6
48	0.0	pt6
49	0.0	pt6
50	0.0	pt6
51	0.0	pt6
52	0.9702926629493116	pt6
53	0.0	pt6
54	0.02148150800186173	pt6
55	0.0	pt6
56	0.0	pt6
57	0.0	pt6
58	0.0	pt6
59	0.0	pt6
60	0.0	pt6
61	0.0	pt6
62	0.0	pt6
63	0.0	pt6
64	0.0	pt6
65	0.0	pt6
66	0.0	pt6
67	0.0	pt6
68	0.0	pt6
