Quality	Count	sample
2	239344.0	ct6
3	5120.0	ct6
4	2342.0	ct6
5	2758.0	ct6
6	3828.0	ct6
7	6006.0	ct6
8	5484.0	ct6
9	3952.0	ct6
10	3904.0	ct6
11	4827.0	ct6
12	6151.0	ct6
13	7334.0	ct6
14	8449.0	ct6
15	9437.0	ct6
16	9622.0	ct6
17	11165.0	ct6
18	13659.0	ct6
19	17958.0	ct6
20	23316.0	ct6
21	28382.0	ct6
22	32445.0	ct6
23	36891.0	ct6
24	40749.0	ct6
25	43307.0	ct6
26	41723.0	ct6
27	41920.0	ct6
28	47304.0	ct6
29	52197.0	ct6
30	59174.0	ct6
31	68087.0	ct6
32	81501.0	ct6
33	99780.0	ct6
34	128581.0	ct6
35	189792.0	ct6
36	315963.0	ct6
37	569109.0	ct6
38	1178296.0	ct6
39	3294345.0	ct6
40	769207.0	ct6
