Tile	Base	Mean	sample
1	1	-0.38576558631366	pc5
1	2	-0.5157402110685112	pc5
1	3	-0.48210419827225337	pc5
1	4	-0.5089263279223246	pc5
1	5	-0.4442985240128223	pc5
1	6	-0.4679508432138988	pc5
1	7	-0.43764083431055667	pc5
1	8	-0.36903078124869637	pc5
1	9	-0.399554158342859	pc5
1	10	-0.4011337634922256	pc5
1	11	-0.37177942959581856	pc5
1	12	-0.4255003678705478	pc5
1	13	-0.41504527147404957	pc5
1	14	-0.36776889421840053	pc5
1	15	-0.4172782969076323	pc5
1	16	-0.34496473754354184	pc5
1	17	-0.5385114618740658	pc5
1	18	-0.4130653373013331	pc5
1	19	-0.35984369250483184	pc5
1	20	-0.6436842757660415	pc5
1	21	-0.49633883364796816	pc5
1	22	-0.5259580892242823	pc5
1	23	-0.4787230730727572	pc5
1	24	-0.6509284473894539	pc5
1	25	-0.5947961314058929	pc5
1	26	-0.7836723088332604	pc5
1	27	-0.6004025727353337	pc5
1	28	-0.8780997051349999	pc5
1	29	-0.754196215808868	pc5
1	30	-0.6335724051872873	pc5
1	31	-0.7356630419887509	pc5
1	32	-0.6079891663944252	pc5
1	33	-0.8558289767476523	pc5
1	34	-0.7953739509023166	pc5
1	35	-0.4889137241448793	pc5
1	36	-0.41233441148545324	pc5
1	37	-0.307261675169471	pc5
1	38	-0.8480958215205092	pc5
1	39	-0.7850849771116799	pc5
1	40	-0.8844071850572135	pc5
1	41	-1.0782679609078798	pc5
1	42	-1.2182527107135002	pc5
1	43	-1.501075337593452	pc5
1	44	-1.3142825693939102	pc5
1	45	-1.6131964200967062	pc5
1	46	-1.8363482345135473	pc5
1	47	-1.6247400453516434	pc5
1	48	-2.135396733997478	pc5
1	49	-0.8274127563757574	pc5
1	50	-0.834948923352691	pc5
1	51	-0.569473591121433	pc5
1	52	-0.2610038543406894	pc5
1	53	-0.966374047890362	pc5
1	54	-0.3744092263417471	pc5
1	55	-0.8394168890038358	pc5
1	56	-1.1755115497078457	pc5
1	57	-1.2607819230022592	pc5
1	58	-2.334215850484224	pc5
1	59	-3.023524997238539	pc5
1	60	-0.732173981719324	pc5
1	61	-4.128807426745372	pc5
1	62	-3.2639136724558213	pc5
1	63	-2.9252998399452963	pc5
1	64	-4.878197623500117	pc5
1	65	-6.429839327339327	pc5
1	66	-4.316766474266462	pc5
1	67	-6.423637566137568	pc5
1	68	-2.92145833333333	pc5
2	1	-0.3957240602719736	pc5
2	2	-0.4878596365593566	pc5
2	3	-0.465233325940261	pc5
2	4	-0.4649419016837939	pc5
2	5	-0.4878428817278646	pc5
2	6	-0.4339193269009911	pc5
2	7	-0.454005277680416	pc5
2	8	-0.46338865040232236	pc5
